timestamp,utilization_percent,memory_used_mb,power_watts
1760796672.0296936,0,355.625,37.32
1760796673.030463,0,355.625,36.298
1760796674.0306606,0,355.625,27.812
1760796675.0308285,0,355.625,26.913
1760796676.0309823,0,355.625,23.798
1760796677.0311613,0,355.625,23.798
1760796678.0313268,0,355.625,21.649
1760796679.0314987,0,355.625,21.427
1760796680.0316465,0,355.625,21.288
1760796681.0318127,13,5967.1875,37.776
1760796682.0319767,79,8625.1875,270.529
1760796683.0341122,75,8625.1875,304.468
1760796684.0352225,81,8625.1875,299.531
1760796685.035373,80,8625.1875,296.618
1760796686.0354795,78,8625.1875,296.674
1760796687.0356257,78,8625.1875,299.194
1760796688.0357742,78,8625.1875,299.496
1760796689.0577526,81,8625.1875,297.926
1760796690.0578825,81,8625.1875,296.639
1760796691.0580044,78,8625.1875,296.813
