timestamp,utilization_percent,memory_used_mb,power_watts
1760795790.2852914,0,355.625,27.565
1760795791.287983,0,355.625,26.862
1760795792.2881432,0,355.625,21.394
1760795793.2883613,0,355.625,20.81
1760795794.2885523,97,9313.1875,64.45
1760795795.2887003,96,10099.1875,313.234
1760795796.2888486,97,10099.1875,317.163
1760795797.2889888,97,10111.1875,309.588
1760795798.2890816,96,10111.1875,314.87
1760795799.2892234,96,10111.1875,313.912
1760795800.2893384,96,10111.1875,314.742
1760795801.2894804,97,10111.1875,317.326
