timestamp,utilization_percent,memory_used_mb,power_watts
1760795153.6438987,0,355.625,25.73
1760795154.6542916,0,355.625,23.789
1760795155.6544464,0,355.625,20.818
1760795156.6549785,0,355.625,21.188
1760795157.655125,47,10549.1875,38.596
1760795158.6552632,98,10551.1875,309.57
1760795159.6554124,98,10551.1875,333.663
1760795160.6555138,98,10551.1875,335.776
1760795161.6556096,98,10551.1875,337.437
1760795162.6556993,98,10551.1875,335.322
1760795163.6557925,98,10551.1875,335.482
1760795164.6558924,98,10551.1875,334.261
1760795165.6559942,98,10551.1875,335.383
1760795166.656088,98,10551.1875,337.396
1760795167.6644714,98,10551.1875,337.232
