timestamp,utilization_percent,memory_used_mb,power_watts
1760787855.7407994,0,355.625,21.603
1760787856.7409823,6,16579.1875,46.806
1760787857.7411258,99,19505.1875,245.676
1760787858.741223,100,19505.1875,325.35
1760787859.74131,99,19505.1875,330.142
1760787860.7414038,99,19505.1875,333.108
1760787861.7414901,100,19505.1875,331.874
1760787862.7418168,99,19505.1875,331.806
1760787863.7477636,99,19505.1875,334.621
1760787864.7478833,99,19505.1875,331.691
1760787865.7479753,100,19505.1875,332.079
1760787866.7480624,99,19505.1875,337.1
1760787867.748144,99,19505.1875,333.246
1760787868.7482305,100,19505.1875,333.268
1760787869.748314,99,19505.1875,333.553
1760787870.748425,99,19505.1875,336.878
1760787871.7485104,100,19505.1875,336.327
1760787872.7485983,99,19505.1875,334.473
1760787873.7486832,99,19505.1875,335.712
1760787874.7487693,100,19505.1875,334.481
1760787875.7488635,99,19505.1875,337.452
1760787876.748951,99,19505.1875,337.224
1760787877.7490373,100,19505.1875,334.989
1760787878.7491233,99,19505.1875,338.659
1760787879.749204,99,19505.1875,336.614
1760787880.7492967,100,19505.1875,335.618
1760787881.7493806,99,19505.1875,340.59
1760787882.7494662,99,19505.1875,337.046
1760787883.7495477,100,19505.1875,335.27
1760787884.7496405,99,19505.1875,339.649
1760787885.7497303,99,19505.1875,338.253
1760787886.7498162,100,19505.1875,335.89
