model,precision,batch_size,throughput,mean_latency_ms,total_time_sec,success
bert-large,bf16,1024,622.6385016979749,1644.5887851715088,82.23070025444031,1
bert-large,bf16,128,612.8043159467445,208.85186195373535,10.443790674209595,1
bert-large,bf16,12,446.76076651092245,26.838960647583008,1.3430006504058838,1
bert-large,bf16,16,495.9962938967107,32.237067222595215,1.612915277481079,1
bert-large,bf16,192,618.1741581111031,310.56973457336426,15.529604196548462,1
bert-large,bf16,1,76.20334972476851,13.101959228515625,0.6561391353607178,1
bert-large,bf16,24,542.6084391661849,44.19932842254639,2.2115395069122314,1
bert-large,bf16,256,619.6961892852544,413.0828857421875,20.655282735824585,1
bert-large,bf16,2,150.67148847540054,13.25305461883545,0.6636955738067627,1
bert-large,bf16,32,605.0650872977368,52.85895824432373,2.644343614578247,1
bert-large,bf16,384,621.7306892249026,617.6079797744751,30.881538152694702,1
bert-large,bf16,48,606.8872148556978,79.06744480133057,3.954606294631958,1
bert-large,bf16,4,289.980897492891,13.772916793823242,0.6897006034851074,1
bert-large,bf16,512,618.2126280035186,828.1703472137451,41.409700870513916,1
bert-large,bf16,64,620.0139951288674,103.19268703460693,5.1611738204956055,1
bert-large,bf16,768,620.0855159925782,1238.5160541534424,61.926942348480225,1
bert-large,bf16,8,432.3369551212342,18.483104705810547,0.9252042770385742,1
bert-large,bf16,96,609.3828569131634,157.51104831695557,7.876821517944336,1
bert-large,fp16,1024,615.1119088992706,1664.7117900848389,83.23688626289368,1
bert-large,fp16,128,605.9593968728318,211.20830059051514,10.561763763427734,1
bert-large,fp16,12,446.21592384594504,26.871399879455566,1.3446404933929443,1
bert-large,fp16,16,495.3471858695745,32.279109954833984,1.6150288581848145,1
bert-large,fp16,192,612.6846587135303,313.3529806137085,15.668745517730713,1
bert-large,fp16,1,74.66543621819383,13.370113372802734,0.6696538925170898,1
bert-large,fp16,24,539.5869191603475,44.44657325744629,2.223923444747925,1
bert-large,fp16,256,612.6683537014089,417.8163146972656,20.892216682434082,1
bert-large,fp16,2,151.94072640081262,13.132033348083496,0.658151388168335,1
bert-large,fp16,32,606.2692974375361,52.76064395904541,2.6390912532806396,1
bert-large,fp16,384,612.289429852042,627.1319770812988,31.35771918296814,1
bert-large,fp16,48,602.9981673433451,79.57143783569336,3.980111598968506,1
bert-large,fp16,4,293.6100002170065,13.600363731384277,0.681175708770752,1
bert-large,fp16,512,613.8387432570909,834.0701770782471,41.70476412773132,1
bert-large,fp16,64,614.5913470740616,104.11234855651855,5.206711769104004,1
bert-large,fp16,768,613.2129595583311,1252.3935556411743,62.62098574638367,1
bert-large,fp16,8,433.60763524186814,18.42883586883545,0.9224929809570312,1
bert-large,fp16,96,603.7151193659723,158.98448944091797,7.950769901275635,1
bert-large,fp32,1024,36.43300274415076,28106.34597301483,1405.3192474842072,1
bert-large,fp32,128,36.09513119722539,3546.1580562591553,177.30923223495483,1
bert-large,fp32,12,36.81178137370224,325.95985889434814,16.299129724502563,1
bert-large,fp32,16,36.921365941351,433.3310842514038,21.667670726776123,1
bert-large,fp32,192,36.09440965410012,5319.355745315552,265.9691650867462,1
bert-large,fp32,1,29.163180294517037,34.26714897155762,1.7144906520843506,1
bert-large,fp32,24,36.83930893885822,651.4549255371094,32.57390093803406,1
bert-large,fp32,256,36.11087353142307,7089.252443313599,354.4638705253601,1
bert-large,fp32,2,41.91535071931482,47.69420146942139,2.38576078414917,1
bert-large,fp32,32,36.45540077462329,877.7536487579346,43.889244556427,1
bert-large,fp32,384,36.17589339464945,10614.771718978882,530.7401752471924,1
bert-large,fp32,48,36.31452222467081,1321.7613410949707,66.08926272392273,1
bert-large,fp32,4,46.564550703249715,85.8708381652832,4.29511284828186,1
bert-large,fp32,512,36.27513588760928,14114.321093559265,705.7175493240356,1
bert-large,fp32,64,36.18964369465836,1768.4343528747559,88.423086643219,1
bert-large,fp32,768,36.37398292106855,21113.956003189087,1055.69962143898,1
bert-large,fp32,8,36.95700180782329,216.4456033706665,10.823388814926147,1
bert-large,fp32,96,36.09501351577918,2659.621024131775,132.98235774040222,1
gpt2,bf16,1024,0,0,0,0
gpt2,bf16,128,881.418060306972,145.16762256622314,7.261026620864868,1
gpt2,bf16,12,863.3067700382497,13.857569694519043,0.6950020790100098,1
gpt2,bf16,16,888.0750320313217,17.973875999450684,0.900824785232544,1
gpt2,bf16,192,892.4885200374334,215.07551193237305,10.756440877914429,1
gpt2,bf16,1,140.02268777337332,7.100672721862793,0.3570849895477295,1
gpt2,bf16,24,977.6007592133378,24.495844841003418,1.2274949550628662,1
gpt2,bf16,256,895.5695812527464,285.79883098602295,14.292580127716064,1
gpt2,bf16,2,278.4735127411984,7.122459411621094,0.3591005802154541,1
gpt2,bf16,32,878.5880245286133,36.36899471282959,1.821103811264038,1
gpt2,bf16,384,901.7947443598408,425.7634925842285,21.290875911712646,1
gpt2,bf16,48,874.9242288798459,54.80856895446777,2.7430946826934814,1
gpt2,bf16,4,533.5748706231967,7.436213493347168,0.3748302459716797,1
gpt2,bf16,512,907.3760111837237,564.2086315155029,28.213221073150635,1
gpt2,bf16,64,880.2550697339482,72.65381336212158,3.635309934616089,1
gpt2,bf16,768,0,0,0,0
gpt2,bf16,8,735.8234432427217,10.819449424743652,0.5436086654663086,1
gpt2,bf16,96,886.5070835902309,108.24722290039062,5.41450834274292,1
gpt2,fp16,1024,0,0,0,0
gpt2,fp16,128,881.6939031069528,145.12614727020264,7.2587549686431885,1
gpt2,fp16,12,866.3796157345773,13.794050216674805,0.6925370693206787,1
gpt2,fp16,16,892.1545438302434,17.89229393005371,0.8967056274414062,1
gpt2,fp16,192,892.7600536924466,215.01286029815674,10.753169298171997,1
gpt2,fp16,1,139.79196037848413,7.093534469604492,0.35767436027526855,1
gpt2,fp16,24,979.2012251968455,24.466958045959473,1.2254886627197266,1
gpt2,fp16,256,895.4893796027358,285.8246850967407,14.29386019706726,1
gpt2,fp16,2,281.35944317139007,7.067890167236328,0.35541725158691406,1
gpt2,fp16,32,886.152077943617,36.06815814971924,1.8055591583251953,1
gpt2,fp16,384,900.2310612048431,426.50344371795654,21.327857732772827,1
