timestamp,utilization_percent,memory_used_mb,power_watts
1760795210.080628,4,26.6796875,36.0
1760795211.101706,0,26.6484375,21.0
1760795212.1023495,0,26.6484375,20.0
1760795213.1027262,0,26.6484375,21.0
1760795214.103692,0,26.6484375,20.0
1760795215.1044421,0,26.6484375,20.0
1760795216.105293,6,502.79296875,27.0
1760795217.1056647,47,8817.3984375,135.0
1760795218.1061707,95,8844.4609375,262.0
1760795219.1068075,99,8868.15625,276.0
1760795220.10715,99,8868.15625,274.0
1760795221.107637,99,8868.15625,273.0
1760795222.1079805,99,8868.15625,273.0
1760795223.108388,99,8868.15625,274.0
1760795224.1088126,99,8868.15625,274.0
1760795225.1090677,99,8868.15625,273.0
1760795226.1095004,99,8868.15625,274.0
1760795227.1100667,99,8868.15625,273.0
1760795228.110497,99,8868.15625,274.0
1760795229.1109073,99,8868.15625,274.0
