timestamp,utilization_percent,memory_used_mb,power_watts
1760794108.4166646,4,26.671875,32.0
1760794109.4222512,0,26.640625,21.0
1760794110.4229777,0,26.640625,20.0
1760794111.4233322,0,26.640625,20.0
1760794112.423783,0,26.640625,20.0
1760794113.424145,0,26.640625,20.0
1760794114.4248362,7,522.79296875,26.0
1760794115.4251952,63,11456.85546875,183.0
1760794116.4256926,87,17913.77734375,245.0
1760794117.4260285,100,19485.78125,274.0
1760794118.4267569,100,19485.78125,274.0
1760794119.427109,98,19500.828125,269.0
1760794120.4275956,100,19611.828125,274.0
1760794121.4279344,100,19611.828125,272.0
1760794122.4283166,100,19611.828125,273.0
1760794123.4287245,100,19611.828125,273.0
1760794124.429494,100,19611.828125,273.0
1760794125.4298956,100,19611.828125,272.0
1760794126.4305325,100,19611.828125,274.0
1760794127.4310014,100,19611.828125,273.0
1760794128.431678,100,19611.828125,273.0
1760794129.4324148,100,19611.828125,273.0
1760794130.4329093,100,19611.828125,274.0
1760794131.4333007,100,19611.828125,273.0
1760794132.4336996,100,19611.828125,273.0
1760794133.4341676,100,19611.828125,273.0
1760794134.434572,100,19611.828125,273.0
1760794135.4350822,100,19611.828125,273.0
1760794136.435743,100,19611.828125,274.0
1760794137.436443,100,19611.828125,273.0
1760794138.4370985,100,19611.828125,273.0
1760794139.437431,100,19611.828125,273.0
1760794140.4380684,100,19611.828125,273.0
1760794141.43908,100,19611.828125,273.0
1760794142.4394343,100,19611.828125,273.0
1760794143.4398277,100,19611.828125,273.0
1760794144.4400733,100,19611.828125,273.0
1760794145.4411945,100,19611.828125,274.0
1760794146.4415913,100,19611.828125,273.0
1760794147.4424117,100,19611.828125,273.0
1760794148.442778,100,19611.828125,273.0
1760794149.4431605,100,19611.828125,273.0
1760794150.4436078,100,19611.828125,273.0
1760794151.4442828,100,19611.828125,273.0
1760794152.4446461,100,19611.828125,273.0
1760794153.4450784,100,19611.828125,273.0
1760794154.4454415,100,19611.828125,273.0
1760794155.4461048,100,19611.828125,273.0
1760794156.4465103,100,19611.828125,274.0
1760794157.447042,100,19611.828125,273.0
1760794158.447409,100,19611.828125,272.0
1760794159.4477758,100,19611.828125,274.0
1760794160.448309,100,19611.828125,273.0
1760794161.4486458,100,19611.828125,274.0
1760794162.4491794,100,19611.828125,273.0
1760794163.4498012,100,19611.828125,273.0
1760794164.450227,100,19611.828125,273.0
1760794165.4505594,100,19611.828125,274.0
1760794166.4513953,100,19611.828125,273.0
1760794167.4517293,100,19611.828125,273.0
1760794168.4521163,100,19611.828125,273.0
1760794169.4525626,100,19611.828125,273.0
1760794170.453209,100,19611.828125,273.0
1760794171.4536378,100,19611.828125,273.0
1760794172.4543004,100,19611.828125,273.0
1760794173.4547887,100,19611.828125,273.0
1760794174.4551544,100,19611.828125,273.0
1760794175.4556835,100,19611.828125,273.0
1760794176.4562929,100,19611.828125,274.0
1760794177.4566298,100,19611.828125,273.0
1760794178.4573169,100,19611.828125,272.0
1760794179.4578998,100,19611.828125,273.0
1760794180.458327,100,19611.828125,273.0
1760794181.4587157,100,19611.828125,273.0
1760794182.4595037,100,19611.828125,273.0
1760794183.459841,100,19611.828125,273.0
1760794184.4606261,100,19611.828125,273.0
1760794185.4609616,100,19611.828125,274.0
1760794186.4613934,100,19611.828125,274.0
1760794187.4618797,100,19611.828125,273.0
1760794188.4622724,100,19611.828125,273.0
1760794189.4626975,100,19611.828125,273.0
1760794190.463631,100,19611.828125,273.0
1760794191.464393,100,19611.828125,273.0
1760794192.4649792,100,19611.828125,274.0
1760794193.465541,100,19611.828125,273.0
1760794194.4662054,100,19611.828125,274.0
1760794195.4666593,100,19611.828125,273.0
1760794196.4674144,100,19611.828125,273.0
1760794197.4677484,100,19611.828125,273.0
1760794198.4682586,100,19611.828125,273.0
1760794199.4686196,100,19611.828125,273.0
1760794200.4691,100,19611.828125,273.0
1760794201.4694366,100,19611.828125,273.0
1760794202.4698272,100,19611.828125,273.0
1760794203.4705737,100,19611.828125,273.0
1760794204.4709415,100,19611.828125,273.0
1760794205.4719038,100,19611.828125,273.0
1760794206.4722555,100,19611.828125,274.0
1760794207.4730496,100,19611.828125,274.0
1760794208.4734583,100,19611.828125,273.0
1760794209.4742227,100,19611.828125,273.0
