timestamp,utilization_percent,memory_used_mb,power_watts
1760788260.8120894,8,26.66796875,50.0
1760788261.812475,30,539.97265625,74.0
1760788262.812856,57,976.109375,144.0
1760788263.8132772,68,1188.1640625,173.0
1760788264.8139222,72,1370.2265625,149.0
1760788265.8144667,69,1548.04296875,135.0
1760788266.8149877,83,1567.09765625,176.0
1760788267.8155248,99,1571.1640625,250.0
1760788268.8159654,90,1575.1953125,202.0
1760788269.8162794,81,1565.2421875,185.0
1760788270.8166342,100,1489.2578125,257.0
1760788271.817082,81,1449.2890625,188.0
1760788272.8176336,89,1479.3203125,201.0
1760788273.817864,99,1257.3203125,264.0
1760788274.818571,70,1159.4140625,171.0
1760788275.819202,86,1910.05078125,195.0
1760788276.8195884,98,1910.05078125,277.0
1760788277.8202322,98,1910.05078125,273.0
1760788278.820937,98,1910.05078125,274.0
