model,precision,batch_size,throughput,mean_latency_ms,total_time_sec,success
bert-large,bf16,1024,1268.8416805287568,806.9312620162964,40.35176396369934,1
bert-large,bf16,128,1318.241183879588,97.01269149780273,4.854953765869141,1
bert-large,bf16,12,692.2281810852539,17.284011840820312,0.8667662143707275,1
bert-large,bf16,16,758.0906050526222,21.04520320892334,1.0552828311920166,1
bert-large,bf16,192,1241.7752400579432,154.51117515563965,7.730867624282837,1
bert-large,bf16,1,48.65514355707123,20.499444007873535,1.0276405811309814,1
bert-large,bf16,24,1226.8638554780737,19.494543075561523,0.9781036376953125,1
bert-large,bf16,256,1233.9921969036955,207.38755226135254,10.37283706665039,1
bert-large,bf16,2,103.21681391755952,19.32438373565674,0.968834400177002,1
bert-large,bf16,32,1335.0321877312622,23.90082359313965,1.1984729766845703,1
bert-large,bf16,384,1257.2466637561681,305.3377342224121,15.271466255187988,1
bert-large,bf16,48,1357.8393229316662,35.285019874572754,1.7675139904022217,1
bert-large,bf16,4,224.20836502795453,17.78963565826416,0.8920273780822754,1
bert-large,bf16,512,1230.0436981291348,416.1292839050293,20.81226873397827,1
bert-large,bf16,64,1400.8195068514196,45.6285285949707,2.284377098083496,1
bert-large,bf16,768,1267.9427604811772,605.6031179428101,30.285278797149658,1
bert-large,bf16,8,392.4052539573316,20.311899185180664,1.0193543434143066,1
bert-large,bf16,96,1463.3853947696662,65.54499626159668,3.2800655364990234,1
bert-large,fp16,1024,1226.4385990162134,834.8340797424316,41.74689221382141,1
bert-large,fp16,128,1273.9079177346416,100.4090404510498,5.023910999298096,1
bert-large,fp16,12,700.7868661274975,17.08134651184082,0.8561804294586182,1
bert-large,fp16,16,857.4038735737802,18.60771656036377,0.933049201965332,1
bert-large,fp16,192,1200.057759680804,159.8936939239502,7.999614953994751,1
bert-large,fp16,1,59.341943563874835,16.802120208740234,0.8425743579864502,1
bert-large,fp16,24,1217.2241861032037,19.6718692779541,0.9858496189117432,1
bert-large,fp16,256,1173.8762373979669,217.9898166656494,10.904045581817627,1
bert-large,fp16,2,104.90331161803756,19.012022018432617,0.953258752822876,1
bert-large,fp16,32,1295.8416123006434,24.63374614715576,1.2347187995910645,1
bert-large,fp16,384,1217.20779335122,315.3728675842285,15.77380633354187,1
bert-large,fp16,48,1306.5923251312065,36.6588830947876,1.836839199066162,1
bert-large,fp16,4,208.2050884931591,19.16365146636963,0.9605913162231445,1
bert-large,fp16,512,1188.1166451181145,430.86236476898193,21.546705961227417,1
bert-large,fp16,64,1343.881321515682,47.57242679595947,2.381162643432617,1
bert-large,fp16,768,1219.7804997128396,629.5446825027466,31.48107385635376,1
bert-large,fp16,8,441.72457035947025,18.056745529174805,0.9055416584014893,1
bert-large,fp16,96,1398.7919868768538,68.54022026062012,3.431532382965088,1
bert-large,fp32,1024,804.8256567016049,1272.1621131896973,63.61626219749451,1
bert-large,fp32,128,789.8251706925413,161.95847034454346,8.10305905342102,1
bert-large,fp32,12,837.8534209036002,14.283409118652344,0.7161157131195068,1
bert-large,fp32,16,810.8407779466907,19.675278663635254,0.9866302013397217,1
