timestamp,utilization_percent,memory_used_mb,power_watts
1760788922.7265515,0,482.0,100.78
1760788923.7272692,0,482.0,88.389
1760788924.727836,0,482.0,71.394
1760788925.7282946,0,482.0,71.063
1760788926.728889,0,482.0,56.739
1760788927.7295856,13,9151.75,63.359
1760788928.730765,100,30595.75,275.305
1760788929.731331,99,30595.75,315.994
1760788930.7319002,100,30595.75,316.791
1760788931.7324753,99,30595.75,316.325
1760788932.73305,99,30595.75,315.762
1760788933.7336135,99,30595.75,315.256
1760788934.7342365,100,30595.75,309.01
1760788935.7348123,100,30595.75,315.866
1760788936.7353804,99,30595.75,324.342
1760788937.7359793,99,30595.75,317.235
1760788938.7365227,99,30595.75,312.859
1760788939.7370386,99,30595.75,316.858
1760788940.737936,99,30595.75,316.143
1760788941.7388384,100,30595.75,316.345
1760788942.7399626,100,30595.75,326.531
1760788943.740914,100,30595.75,316.196
1760788944.7418895,100,30595.75,310.919
1760788945.742808,100,30595.75,319.0
1760788946.7433674,99,30595.75,318.572
1760788947.744346,99,30595.75,316.17
1760788948.744894,100,30595.75,315.432
1760788949.7454402,100,30595.75,315.78
1760788950.7459552,100,30595.75,312.211
1760788951.7465336,100,30595.75,315.936
1760788952.7471328,100,30595.75,322.341
1760788953.7476466,99,30595.75,317.486
1760788954.748236,99,30595.75,312.409
1760788955.7487698,100,30595.75,313.919
1760788956.7494137,100,30595.75,314.393
1760788957.7499433,100,30595.75,311.86
1760788958.750539,100,30595.75,316.985
1760788959.7511222,100,30595.75,319.519
1760788960.7519097,99,30595.75,316.548
1760788961.7526948,99,30595.75,314.252
1760788962.7537138,99,30595.75,316.447
1760788963.7547345,100,30595.75,309.33
1760788964.7556987,100,30595.75,314.815
1760788965.7565053,100,30595.75,323.715
1760788966.7575562,99,30595.75,315.915
1760788967.7587023,99,30595.75,312.022
1760788968.7592223,99,30595.75,318.139
1760788969.7597528,99,30595.75,323.637
1760788970.7602825,100,30595.75,310.631
1760788971.7608335,100,30595.75,319.536
1760788972.7613509,99,30595.75,325.36
1760788973.7623463,100,30595.75,316.937
1760788974.7631109,99,30595.75,314.314
1760788975.7639093,99,30595.75,311.631
1760788976.7644744,99,30595.75,322.394
1760788977.765038,100,30595.75,317.152
1760788978.7658195,100,30595.75,313.268
1760788979.7667782,100,30595.75,318.784
1760788980.7678466,100,30595.75,317.764
