timestamp,utilization_percent,memory_used_mb,power_watts
1760788793.9661472,0,482.0,71.035
1760788794.9668462,0,482.0,70.874
1760788795.9673612,0,482.0,69.815
1760788796.9678092,0,482.0,69.75
1760788797.9683266,0,482.0,69.628
1760788798.968987,8,2819.75,80.716
1760788799.9695947,56,7621.75,187.616
1760788800.97033,54,7621.75,225.645
1760788801.97096,55,7621.75,165.271
1760788802.9715593,56,7621.75,154.619
1760788803.9721391,55,7621.75,205.07
1760788804.972728,55,7621.75,232.673
1760788805.9733076,55,7621.75,169.16
1760788806.9739473,56,7621.75,150.39
1760788807.9745178,58,7621.75,192.865
