timestamp,utilization_percent,memory_used_mb,power_watts
1760790017.8720994,0,482.0,72.554
1760790018.872833,0,482.0,72.175
1760790019.8734677,0,482.0,70.915
1760790020.8741353,97,9485.75,185.925
1760790021.8748124,98,9485.75,304.319
1760790022.8754258,98,10271.75,312.866
1760790023.8760011,97,10283.75,308.76
1760790024.8765554,98,10283.75,312.249
1760790025.877177,98,10283.75,310.516
1760790026.877794,97,10283.75,313.673
1760790027.878405,97,10283.75,313.796
1760790028.8789477,98,10283.75,315.092
