timestamp,utilization_percent,memory_used_mb,power_watts
1760789419.7236674,0,482.0,99.934
1760789420.7250788,0,482.0,86.006
1760789421.726215,0,497.375,70.658
1760789422.7268565,90,10723.75,240.563
1760789423.7275853,98,10723.75,346.418
1760789424.7285829,98,10723.75,342.681
1760789425.734674,98,10723.75,329.077
1760789426.7539964,98,10723.75,335.041
1760789427.7551568,98,10723.75,331.911
1760789428.7564547,98,10723.75,332.652
1760789429.7571108,98,10723.75,337.608
1760789430.7577908,98,10723.75,327.487
1760789431.7585125,98,10723.75,327.195
