timestamp,utilization_percent,memory_used_mb,power_watts
1760787755.6691725,0,482.0,102.523
1760787756.6699808,79,14165.75,163.364
1760787757.6706345,100,14165.75,312.078
1760787758.6712134,99,14165.75,314.314
1760787759.672153,99,14165.75,314.872
1760787760.6729162,99,14165.75,312.171
1760787761.6740289,99,14165.75,314.503
1760787762.6751447,100,14165.75,309.571
1760787763.676121,100,14165.75,309.894
1760787764.676904,99,14165.75,313.286
1760787765.677607,100,14165.75,314.727
1760787766.6782708,99,14165.75,316.265
1760787767.6792212,99,14165.75,315.205
1760787768.680245,99,14165.75,315.575
1760787769.6813858,99,14165.75,314.313
1760787770.6823938,99,14165.75,315.345
1760787771.6834412,100,14165.75,310.259
1760787772.6842906,100,14165.75,310.142
1760787773.684961,100,14165.75,315.829
1760787774.6859095,100,14165.75,315.147
1760787775.6865623,100,14165.75,313.664
1760787776.6872032,99,14165.75,316.895
1760787777.6878304,100,14165.75,316.083
1760787778.6885533,99,14165.75,314.671
1760787779.6891952,100,14165.75,314.442
