timestamp,utilization_percent,memory_used_mb,power_watts
1760786910.9126549,0,482.0,101.832
1760786911.9134445,85,13557.75,177.093
1760786912.9140615,99,13557.75,313.068
1760786913.9146304,100,13557.75,305.031
1760786914.915511,99,13557.75,313.93
1760786915.9162557,99,13557.75,310.363
1760786916.9170606,99,13557.75,307.091
1760786917.9181645,99,13557.75,316.297
1760786918.9191496,99,13557.75,304.932
1760786919.9202533,99,13557.75,314.104
1760786920.9214842,99,13557.75,309.294
1760786921.9226303,99,13557.75,305.282
1760786922.9242444,99,13557.75,314.807
1760786923.9252474,100,13557.75,307.811
1760786924.9262521,99,13557.75,309.495
1760786925.9269164,99,13557.75,317.051
1760786926.9276266,99,13557.75,306.985
1760786927.9282875,99,13557.75,315.698
1760786928.9290218,99,13557.75,311.045
1760786929.9297254,99,13557.75,307.852
1760786930.9304764,99,13557.75,312.922
1760786931.9311929,99,13557.75,307.308
