timestamp,utilization_percent,memory_used_mb,power_watts
1760699112.4337358,0,482.0,73.096
1760699113.4344823,0,482.0,72.425
1760699114.4351115,0,482.0,70.91
1760699115.4357033,0,482.0,70.578
1760699116.4364438,0,482.0,70.213
1760699117.4371333,20,2429.75,58.305
1760699118.4378133,98,14079.75,231.11
1760699119.438466,98,14079.75,312.233
1760699120.4391177,99,14079.75,318.118
1760699121.4397573,99,14079.75,313.932
1760699122.4407983,98,14079.75,319.687
1760699123.4414835,98,14079.75,305.895
1760699124.4420989,99,14079.75,321.145
1760699125.4427264,99,14079.75,300.776
1760699126.4432766,99,14079.75,311.908
1760699127.4439027,99,14079.75,311.492
1760699128.4448934,99,14079.75,320.073
1760699129.4459956,98,14079.75,317.507
1760699130.4471374,98,14079.75,314.817
1760699131.4481726,99,14079.75,328.08
1760699132.4491825,99,14079.75,314.648
1760699133.4501212,99,14079.75,323.65
1760699134.451171,99,14079.75,312.825
1760699135.4518666,98,14079.75,326.107
1760699136.4524786,98,14079.75,315.155
1760699137.453114,98,14079.75,315.504
1760699138.4537308,99,14079.75,322.317
1760699139.4543579,99,14079.75,315.098
1760699140.4551628,98,14079.75,320.86
1760699141.4561167,99,14079.75,308.738
1760699142.4571185,99,14079.75,325.407
1760699143.4577336,99,14079.75,307.24
1760699144.4583316,98,14079.75,324.201
1760699145.4594827,99,14079.75,311.636
1760699146.4654198,99,14079.75,313.572
1760699147.466444,99,14079.75,320.28
1760699148.4674678,99,14079.75,316.512
1760699149.468064,99,14079.75,321.098
1760699150.4686458,99,14079.75,307.694
1760699151.4691868,98,14079.75,326.602
1760699152.4698093,98,14079.75,309.335
1760699153.470401,99,14079.75,313.771
1760699154.47094,99,14079.75,319.934
1760699155.471498,98,14079.75,315.467
1760699156.4722447,99,14079.75,321.091
1760699157.4728467,99,14079.75,309.303
1760699158.473449,98,14079.75,327.119
1760699159.4740481,99,14079.75,311.516
1760699160.4749403,99,14079.75,315.173
1760699161.4758823,99,14079.75,319.689
1760699162.4769335,98,14079.75,316.139
1760699163.4779654,99,14079.75,322.855
1760699164.478975,99,14079.75,308.314
1760699165.4799397,98,14079.75,326.52
