timestamp,utilization_percent,memory_used_mb,power_watts
1760698740.7275925,0,482.0,73.748
1760698741.7286878,0,482.0,73.381
1760698742.7293324,0,482.0,71.42
1760698743.729884,0,482.0,71.188
1760698744.7306619,0,482.0,70.822
1760698745.7314358,25,2953.75,81.704
1760698746.7320638,97,14079.75,256.641
1760698747.7332044,98,14079.75,314.73
1760698748.734317,97,14079.75,312.163
1760698749.7350643,98,14079.75,310.091
1760698750.735786,98,14079.75,311.725
1760698751.7365472,98,14079.75,310.883
1760698752.7372658,98,14079.75,310.18
1760698753.7380662,98,14079.75,306.777
1760698754.7388232,98,14079.75,312.05
1760698755.7399008,97,14079.75,311.538
1760698756.7410645,98,14079.75,306.506
1760698757.7422614,97,14079.75,309.56
1760698758.7433603,98,14079.75,312.768
1760698759.7444408,97,14079.75,309.383
1760698760.7454643,98,14079.75,311.434
1760698761.7466128,97,14079.75,306.011
1760698762.7472105,98,14079.75,309.866
1760698763.7478123,98,14079.75,308.763
1760698764.7483804,98,14079.75,308.873
1760698765.74897,98,14079.75,304.223
1760698766.7495394,98,14079.75,305.33
1760698767.750172,98,14079.75,305.699
1760698768.7507892,98,14079.75,308.498
1760698769.7513719,98,14079.75,307.247
1760698770.7519155,98,14079.75,306.889
1760698771.7524924,98,14079.75,307.175
1760698772.753094,98,14079.75,306.435
1760698773.7540889,97,14079.75,305.844
1760698774.7550867,98,14079.75,305.113
1760698775.7562268,98,14079.75,306.234
1760698776.757203,97,14079.75,304.949
1760698777.7581844,97,14079.75,306.367
1760698778.7590337,98,14079.75,304.963
1760698779.760018,98,14079.75,305.284
1760698780.760619,98,14079.75,304.869
1760698781.7611926,97,14079.75,304.942
1760698782.7617435,98,14079.75,306.633
1760698783.7623212,97,14079.75,304.754
1760698784.7631686,98,14079.75,308.88
1760698785.7638624,96,14079.75,304.273
1760698786.7654278,98,14079.75,307.32
1760698787.7663317,97,14079.75,305.223
1760698788.766979,98,14079.75,304.521
1760698789.7676067,96,14079.75,303.215
1760698790.7685301,98,14079.75,306.26
1760698791.7747118,98,14079.75,304.074
1760698792.7756429,98,14079.75,305.8
1760698793.776656,98,14079.75,305.8
1760698794.7772193,98,14079.75,306.05
1760698795.777877,97,14079.75,305.77
1760698796.778457,98,14079.75,305.769
1760698797.7790344,98,14079.75,306.551
1760698798.7796018,98,14079.75,306.755
1760698799.7802684,97,14079.75,304.578
1760698800.780849,98,14079.75,305.875
1760698801.7814083,97,14079.75,305.641
1760698802.7819436,98,14079.75,305.584
1760698803.7825196,97,14079.75,305.993
1760698804.7830749,98,14079.75,303.803
1760698805.7840307,97,14079.75,310.586
1760698806.7850077,98,14079.75,304.582
1760698807.7860997,97,14079.75,309.915
1760698808.787107,98,14079.75,304.895
1760698809.7880821,97,14079.75,312.296
1760698810.7890615,98,14079.75,308.169
