timestamp,utilization_percent,memory_used_mb,power_watts
1760699911.6019356,0,482.0,72.102
1760699912.6026673,0,482.0,71.41
1760699913.60345,0,482.0,70.157
1760699914.6043365,76,17099.75,150.81
1760699915.6055942,99,17101.75,302.578
1760699916.606614,99,17101.75,305.315
1760699917.6076627,99,17101.75,302.964
1760699918.608665,99,17101.75,305.297
1760699919.6096423,99,17101.75,305.397
1760699920.6102583,99,17101.75,306.713
1760699921.6108963,99,17101.75,308.071
1760699922.6114836,99,17101.75,306.865
1760699923.6120827,99,17101.75,306.518
1760699924.6128793,99,17101.75,305.657
1760699925.6135309,99,17101.75,298.297
1760699926.6144748,99,17101.75,306.293
1760699927.6153848,99,17101.75,304.104
1760699928.6162622,99,17101.75,309.286
1760699929.6169248,99,17101.75,304.085
1760699930.6177316,99,17101.75,308.667
1760699931.6187208,99,17101.75,305.324
1760699932.6238806,99,17101.75,306.477
1760699933.6246963,99,17101.75,310.159
1760699934.6257136,99,17101.75,304.932
1760699935.6263335,99,17101.75,310.176
1760699936.627002,99,17101.75,308.515
1760699937.6276352,99,17101.75,307.563
1760699938.6283128,99,17101.75,306.017
1760699939.62898,99,17101.75,308.107
1760699940.6297019,99,17101.75,307.647
1760699941.6303208,99,17101.75,308.66
1760699942.6309485,99,17101.75,310.411
1760699943.6315477,99,17101.75,308.136
1760699944.632162,99,17101.75,308.428
1760699945.6330361,99,17101.75,311.066
1760699946.634041,99,17101.75,307.957
1760699947.635022,99,17101.75,306.238
1760699948.6361418,99,17101.75,313.077
1760699949.6371589,99,17101.75,302.564
1760699950.6381786,99,17101.75,308.179
1760699951.639249,99,17101.75,309.758
1760699952.63993,99,17101.75,302.078
1760699953.640792,99,17101.75,310.261
1760699954.6414192,99,17101.75,304.776
1760699955.6420677,99,17101.75,311.159
1760699956.6427085,99,17101.75,307.713
1760699957.6433094,99,17101.75,311.917
1760699958.6439953,99,17101.75,311.292
1760699959.644561,99,17101.75,306.259
1760699960.645167,99,17101.75,311.619
