timestamp,utilization_percent,memory_used_mb,power_watts
1758396717.6087284,9,26.6796875,49.0
1758396718.6092215,0,26.6484375,17.0
1758396719.6097834,0,26.6484375,16.0
1758396720.610482,0,26.6484375,16.0
1758396721.6205745,0,26.6484375,16.0
1758396722.6210904,0,26.6484375,16.0
1758396723.6214845,0,26.6484375,16.0
1758396724.6218858,0,26.6484375,16.0
1758396725.622393,0,26.6484375,16.0
1758396726.6227758,0,26.6484375,16.0
1758396727.6234398,0,286.70703125,17.0
1758396728.6238868,55,13449.95703125,151.0
1758396729.6244757,99,13569.95703125,274.0
1758396730.624837,99,13569.95703125,274.0
1758396731.6252882,99,13569.95703125,273.0
1758396732.62571,99,13569.95703125,274.0
1758396733.626134,99,13569.95703125,273.0
1758396734.6265557,99,13569.95703125,274.0
1758396735.6269767,99,13569.95703125,273.0
1758396736.627397,99,13569.95703125,274.0
1758396737.6278222,99,13569.95703125,273.0
1758396738.6285198,99,13569.95703125,273.0
1758396739.6289244,99,13569.95703125,274.0
1758396740.6293373,99,13569.95703125,273.0
1758396741.629758,99,13569.95703125,275.0
1758396742.630125,100,13569.95703125,272.0
1758396743.630476,99,13569.95703125,274.0
1758396744.6309764,100,13569.95703125,273.0
1758396745.6314466,99,13569.95703125,274.0
1758396746.631867,100,13569.95703125,273.0
1758396747.6322875,99,13569.95703125,274.0
1758396748.632712,100,13569.95703125,274.0
1758396749.633132,99,13569.95703125,274.0
1758396750.6335025,100,13569.95703125,273.0
1758396751.633858,99,13569.95703125,273.0
1758396752.6342394,100,13569.95703125,274.0
1758396753.6346045,99,13569.95703125,273.0
1758396754.6350958,100,13569.95703125,274.0
1758396755.635333,99,13569.95703125,273.0
1758396756.6357107,100,13569.95703125,273.0
1758396757.636098,99,13569.95703125,274.0
1758396758.6364694,99,13569.95703125,273.0
1758396759.636942,99,13569.95703125,274.0
1758396760.6375232,99,13569.95703125,273.0
1758396761.637938,99,13569.95703125,274.0
1758396762.6383555,99,13569.95703125,273.0
1758396763.6387866,99,13569.95703125,274.0
1758396764.6392045,99,13569.95703125,273.0
1758396765.6396282,99,13569.95703125,273.0
1758396766.6402488,99,13569.95703125,274.0
1758396767.6406717,99,13569.95703125,273.0
1758396768.6411517,99,13569.95703125,274.0
1758396769.6415167,100,13569.95703125,273.0
1758396770.6419992,99,13569.95703125,274.0
1758396771.6424131,100,13569.95703125,273.0
1758396772.6428294,99,13569.95703125,274.0
1758396773.64325,100,13569.95703125,274.0
1758396774.643672,99,13569.95703125,273.0
1758396775.6441166,99,13569.95703125,274.0
1758396776.644507,99,13569.95703125,273.0
1758396777.644938,100,13569.95703125,274.0
1758396778.6453588,99,13569.95703125,274.0
1758396779.6457794,99,13569.95703125,273.0
1758396780.6464543,99,13569.95703125,274.0
1758396781.6471243,99,13569.95703125,273.0
1758396782.6474967,99,13569.95703125,274.0
1758396783.6479726,99,13569.95703125,273.0
1758396784.6483903,99,13569.95703125,274.0
1758396785.6488132,99,13569.95703125,273.0
1758396786.6492305,99,13569.95703125,274.0
1758396787.6496558,99,13569.95703125,273.0
1758396788.6500802,99,13569.95703125,274.0
1758396789.6505046,99,13569.95703125,273.0
1758396790.650928,99,13569.95703125,273.0
1758396791.651492,99,13569.95703125,274.0
1758396792.6520796,99,13569.95703125,273.0
1758396793.7976289,100,13569.95703125,274.0
1758396794.7980072,99,13569.95703125,273.0
1758396795.7983665,100,13569.95703125,274.0
1758396796.7987828,99,13569.95703125,273.0
1758396797.7992802,100,13569.95703125,274.0
1758396798.7999358,99,13569.95703125,274.0
1758396799.8003078,100,13569.95703125,273.0
1758396800.8006897,99,13569.95703125,274.0
1758396801.801066,99,13569.95703125,273.0
1758396802.801634,99,13569.95703125,274.0
1758396803.8020005,99,13569.95703125,273.0
1758396804.8023698,99,13569.95703125,274.0
1758396805.802771,99,13569.95703125,273.0
1758396806.803198,99,13569.95703125,274.0
1758396807.8038645,99,13569.95703125,273.0
1758396808.8042903,99,13569.95703125,273.0
1758396809.8047094,99,13569.95703125,274.0
1758396810.8054662,99,13569.95703125,273.0
1758396811.805831,99,13569.95703125,274.0
1758396812.8062305,99,13569.95703125,273.0
