timestamp,utilization_percent,memory_used_mb,power_watts
1758385056.4999092,4,26.6796875,41.0
1758385057.500508,3,939.109375,41.0
1758385058.5008955,0,939.109375,44.0
1758385059.5012875,13,939.54296875,56.0
1758385060.5016866,100,939.54296875,226.0
1758385061.5021994,84,954.1328125,197.0
1758385062.5025826,95,2150.08203125,237.0
1758385063.503007,100,2150.08203125,268.0
1758385064.5033908,87,2640.1015625,215.0
1758385065.5037658,100,3816.10546875,274.0
1758385066.5041761,100,5972.11328125,274.0
1758385067.504631,100,5972.11328125,273.0
1758385068.5050225,100,6220.11328125,272.0
1758385069.5055547,100,6220.11328125,264.0
1758385070.5059912,87,6466.1328125,208.0
1758385071.5063708,100,6466.1328125,249.0
1758385072.5068965,100,7152.1328125,274.0
1758385073.507569,100,7152.1328125,273.0
1758385074.5082402,84,7152.18359375,226.0
1758385075.5086534,100,7152.18359375,270.0
1758385076.5091639,100,7152.18359375,261.0
1758385077.509683,96,8728.19140625,231.0
1758385078.5101063,100,8728.19140625,275.0
1758385079.5104837,100,8852.19140625,261.0
1758385080.5108652,100,8852.19140625,261.0
1758385081.5113735,100,8852.19140625,244.0
1758385082.5117593,96,8976.19140625,221.0
1758385083.5122163,100,9322.1953125,256.0
1758385084.51264,100,9322.1953125,273.0
1758385085.5131836,100,9322.1953125,265.0
1758385086.5135648,100,9322.1953125,271.0
1758385087.5142407,100,9322.1953125,265.0
1758385088.514721,100,9322.1953125,248.0
1758385089.515195,100,9322.1953125,230.0
1758385090.5155745,96,10722.19921875,245.0
1758385091.5161052,100,10722.19921875,263.0
1758385092.51657,100,10786.19921875,243.0
1758385093.5172925,100,10786.19921875,211.0
1758385094.5176656,100,10786.19921875,189.0
1758385095.5181673,100,10786.19921875,182.0
1758385096.5186067,100,10786.19921875,175.0
1758385097.5190284,87,10850.21484375,146.0
1758385098.5194955,100,10850.21484375,177.0
1758385099.5198848,100,10850.21484375,177.0
1758385100.520282,100,11024.21484375,193.0
1758385101.5206668,100,11024.21484375,199.0
1758385102.521093,100,11024.21484375,192.0
1758385103.5215154,100,11024.21484375,176.0
1758385104.521935,100,11024.21484375,176.0
1758385105.5223808,100,11024.21484375,192.0
1758385106.5228949,100,11024.21484375,213.0
1758385107.523317,100,11024.21484375,194.0
1758385108.5236928,100,11024.21484375,179.0
1758385109.5241005,100,11024.21484375,170.0
1758385110.5245,100,11024.21484375,166.0
1758385111.5248857,100,11024.21484375,166.0
1758385112.525287,94,11024.21484375,159.0
1758385113.5256653,72,11528.51171875,154.0
1758385114.5258906,100,11528.51171875,223.0
1758385115.5262566,100,11528.51171875,207.0
1758385116.5265417,100,11528.51171875,200.0
1758385117.5270305,100,11428.51171875,260.0
1758385118.5273466,84,11438.46484375,203.0
1758385119.5276525,100,11438.46484375,189.0
1758385120.5279822,100,11438.46484375,180.0
1758385121.528397,100,11438.46484375,180.0
1758385122.528807,100,11438.46484375,180.0
1758385123.5292447,100,11438.46484375,179.0
1758385124.5296829,89,11374.48046875,176.0
1758385125.52999,100,11374.48046875,218.0
1758385126.5302422,96,11424.49609375,203.0
1758385127.530787,100,11424.49609375,222.0
1758385128.5313134,100,11424.49609375,206.0
1758385129.5315242,100,11424.49609375,199.0
1758385130.5319283,100,11404.49609375,259.0
1758385131.532346,100,11576.49609375,263.0
1758385132.5327783,100,11576.49609375,273.0
1758385133.5330637,100,11576.49609375,261.0
1758385134.5332713,100,11576.49609375,252.0
1758385135.5336282,100,11576.49609375,246.0
1758385136.5339634,100,11576.49609375,240.0
1758385137.5342755,100,11376.546875,254.0
1758385138.5345597,100,11376.546875,273.0
1758385139.535095,100,11376.546875,271.0
1758385140.5353293,100,11376.546875,271.0
1758385141.5356266,100,11376.546875,270.0
1758385142.5361288,100,11376.546875,272.0
1758385143.5363996,87,11302.5625,212.0
1758385144.5369432,100,11302.5625,254.0
1758385145.537369,100,11302.5625,237.0
1758385146.5375843,100,11302.5625,229.0
1758385147.5379221,100,11302.5625,222.0
1758385148.5383403,99,11302.5625,211.0
1758385149.538553,99,11174.5625,218.0
1758385150.538768,100,11174.5625,217.0
1758385151.5389802,96,11322.578125,234.0
1758385152.5392866,100,11322.578125,271.0
1758385153.539694,100,11322.578125,267.0
1758385154.540174,100,11322.578125,261.0
1758385155.5404627,100,11172.578125,274.0
1758385156.541109,100,11172.578125,271.0
1758385157.5413613,100,11172.578125,272.0
1758385158.5415752,100,11172.578125,267.0
1758385159.54181,100,11172.578125,272.0
1758385160.5420408,100,11172.578125,269.0
1758385161.5423546,100,11172.578125,273.0
1758385162.542776,100,10926.578125,270.0
1758385163.5430725,100,10926.578125,271.0
1758385164.5436156,100,10928.578125,261.0
1758385165.5438347,100,10928.578125,268.0
1758385166.5441,100,10928.578125,248.0
1758385167.544578,100,10928.578125,241.0
1758385168.5448086,98,10830.578125,204.0
1758385169.5450413,100,10830.578125,206.0
1758385170.5454032,96,10928.59375,185.0
1758385171.5457695,100,10928.59375,257.0
1758385172.5459974,100,10850.59375,257.0
1758385173.5462177,100,10850.59375,268.0
1758385174.5464418,100,10850.59375,261.0
1758385175.5467675,100,11052.59375,264.0
1758385176.5470603,100,11052.59375,273.0
1758385177.5474722,100,11052.59375,274.0
1758385178.5477417,100,11052.59375,268.0
1758385179.548237,100,11052.59375,262.0
1758385180.5484784,100,11052.59375,259.0
1758385181.5488143,100,9786.59375,266.0
1758385182.5492384,100,9786.59375,273.0
1758385183.5494673,100,9786.59375,273.0
1758385184.5497766,100,9786.59375,273.0
1758385185.5500216,100,9786.59375,273.0
1758385186.5503788,100,9786.59375,273.0
1758385187.550663,86,9638.609375,216.0
1758385188.5509639,100,9638.609375,270.0
1758385189.551201,100,9638.609375,249.0
1758385190.551408,100,9638.609375,243.0
1758385191.5516276,100,9638.609375,237.0
1758385192.5520422,100,9638.609375,232.0
1758385193.552279,98,9416.609375,221.0
1758385194.5527432,100,9416.609375,227.0
1758385195.552954,100,9416.609375,210.0
1758385196.5532813,96,9710.625,236.0
1758385197.5535476,100,9710.625,273.0
1758385198.5537963,100,9710.625,272.0
1758385199.5540988,100,9390.625,271.0
1758385200.5543306,100,9390.625,268.0
1758385201.554543,100,9390.625,265.0
1758385202.554834,100,9390.625,257.0
1758385203.5551724,100,9390.625,261.0
1758385204.5555766,100,9390.625,263.0
1758385205.555817,100,9390.625,273.0
1758385206.55603,100,8998.625,268.0
1758385207.5562544,100,8998.625,259.0
1758385208.5564847,100,8998.625,258.0
1758385209.5569236,100,8998.625,272.0
1758385210.557353,100,8998.625,258.0
1758385211.5577598,98,8702.625,231.0
1758385212.5581918,100,8702.625,215.0
1758385213.5586758,100,8702.625,192.0
1758385214.5588925,96,8898.625,203.0
1758385215.5591114,100,8898.625,274.0
1758385216.55934,100,8798.625,252.0
1758385217.5595655,100,8798.625,234.0
1758385218.5600462,100,9190.625,247.0
1758385219.5603032,100,9190.625,273.0
1758385220.5605352,100,9190.625,273.0
1758385221.5608134,100,9190.625,274.0
1758385222.5612936,100,9190.625,273.0
1758385223.5615234,100,7816.625,273.0
1758385224.5617537,100,7816.625,273.0
1758385225.5620363,100,7816.625,273.0
1758385226.5622604,100,7816.625,273.0
1758385227.5627325,100,7816.625,273.0
1758385228.563164,100,7816.625,273.0
1758385229.5637136,96,7522.625,253.0
1758385230.5639389,100,7522.625,270.0
1758385231.564178,100,7522.625,264.0
1758385232.564465,100,7522.625,258.0
1758385233.5648096,100,7522.625,250.0
1758385234.5652072,98,7522.625,241.0
1758385235.5654435,99,7226.625,221.0
1758385236.5656743,100,7226.625,199.0
1758385237.5658762,99,7226.625,179.0
1758385238.5660894,98,7618.625,252.0
1758385239.5666223,100,7618.625,274.0
1758385240.5668557,100,7618.625,273.0
1758385241.5670648,100,7030.625,264.0
1758385242.5674503,100,7030.625,251.0
1758385243.567755,100,7030.625,224.0
1758385244.568178,100,7030.625,220.0
1758385245.5686028,88,7030.6484375,213.0
1758385246.568861,100,6246.6484375,273.0
1758385247.5691843,100,6246.6484375,230.0
1758385248.569423,100,6246.6484375,212.0
1758385249.569692,87,6246.671875,221.0
1758385250.5699124,100,6246.671875,270.0
1758385251.5701263,100,6246.671875,264.0
1758385252.570599,98,5658.671875,203.0
1758385253.5708413,100,5658.671875,197.0
1758385254.5710597,100,5658.671875,184.0
1758385255.5713658,96,6050.671875,211.0
1758385256.5715935,100,5854.671875,273.0
1758385257.572013,100,5854.671875,241.0
1758385258.572311,100,2424.671875,238.0
1758385259.5727365,88,2816.6953125,173.0
1758385260.5731413,100,2816.6953125,191.0
1758385261.5736864,100,2816.6953125,165.0
1758385262.5739067,100,2816.6953125,167.0
1758385263.574304,100,2816.6953125,146.0
1758385264.5747101,99,2816.7109375,143.0
1758385265.5750797,97,13119.29296875,240.0
1758385266.5755064,100,13119.29296875,272.0
1758385267.5759244,100,13119.29296875,271.0
1758385268.5763402,100,13119.29296875,271.0
1758385269.5767694,100,13119.29296875,271.0
1758385270.57726,100,13119.29296875,272.0
1758385271.577479,100,13119.29296875,272.0
1758385272.5778918,100,13119.29296875,272.0
1758385273.578246,100,13119.29296875,272.0
1758385274.5785983,100,13119.29296875,270.0
1758385275.5789633,100,13119.29296875,274.0
1758385276.57933,100,13119.29296875,271.0
1758385277.579675,100,13119.29296875,273.0
1758385278.5801804,100,13119.29296875,272.0
1758385279.5805295,100,13119.29296875,272.0
1758385280.5810122,100,13119.29296875,272.0
1758385281.581422,100,13119.29296875,272.0
1758385282.5817926,100,13119.29296875,271.0
1758385283.582273,100,13119.29296875,272.0
1758385284.5825646,100,13119.29296875,272.0
1758385285.5830657,100,13119.29296875,272.0
1758385286.58341,100,13119.29296875,272.0
1758385287.583961,100,13119.29296875,270.0
1758385288.5842466,100,13119.29296875,274.0
1758385289.5848093,100,13119.29296875,271.0
1758385290.5852761,100,13119.29296875,272.0
1758385291.5857737,100,13119.29296875,272.0
1758385292.5861185,100,13119.29296875,272.0
1758385293.5866075,100,13119.29296875,271.0
1758385294.5870295,100,13119.29296875,272.0
1758385295.5873828,100,13119.29296875,272.0
1758385296.5878797,100,13119.29296875,272.0
1758385297.588255,100,13119.29296875,272.0
1758385298.5887218,100,13119.29296875,272.0
1758385299.5891397,100,13119.29296875,272.0
1758385300.5896466,100,13119.29296875,270.0
1758385301.5899127,100,13119.29296875,273.0
1758385302.5904024,100,13119.29296875,272.0
1758385303.5908263,100,13119.29296875,272.0
1758385304.5912519,100,13119.29296875,272.0
1758385305.5917451,100,13119.29296875,272.0
1758385306.592195,100,13119.29296875,271.0
1758385307.5927234,100,13119.29296875,272.0
1758385308.5930748,100,13119.29296875,272.0
1758385309.5935383,100,13119.29296875,272.0
1758385310.5939987,100,13119.29296875,271.0
1758385311.5943809,100,13119.29296875,271.0
1758385312.5947459,100,13119.29296875,272.0
1758385313.5952384,100,13119.29296875,270.0
1758385314.5955992,100,13119.29296875,274.0
1758385315.5960808,100,13119.29296875,272.0
1758385316.5963752,100,13119.29296875,272.0
1758385317.59672,100,13119.29296875,271.0
1758385318.597055,100,13119.29296875,272.0
1758385319.5974028,100,13119.29296875,271.0
1758385320.5978138,100,13119.29296875,272.0
1758385321.5980744,100,13119.29296875,272.0
1758385322.5985696,100,13119.29296875,272.0
1758385323.5989177,100,13119.29296875,272.0
1758385324.599272,100,13119.29296875,271.0
1758385325.599516,100,13119.29296875,273.0
1758385326.599998,100,13119.29296875,271.0
1758385327.600353,100,13119.29296875,273.0
