gpu_short_name,model,precision,efficiency_mean,efficiency_std,throughput_mean,power_mean
L40S,bert-large,bf16,4.861127550211897,0.032367651472042805,1459.8921534512192,300.33077085714285
L40S,bert-large,fp16,4.6706276458573415,0.019273789087873805,1400.8844017559763,299.9390353333333
L40S,bert-large,fp32,3.1195611377101926,0.03289692827567271,874.4559914475612,280.34236250000004
L40S,gpt2,bf16,8.94165357141963,0.4051207761843808,1698.1083591629736,189.9034775
L40S,gpt2,fp16,8.945793810369896,0.47913494441408466,1687.5140443607563,188.67864
L40S,gpt2,fp32,9.267284905688319,0.6948306317285277,1422.688471360133,154.051995
L40S,resnet50,bf16,28.259597954643638,3.2711136241392853,4371.70100043945,156.06572083333333
L40S,resnet50,fp16,30.884261597709664,2.5713109317638705,4598.521745377656,149.5556
L40S,resnet50,fp32,17.571101164131576,0.8229396664496575,2728.7205051699407,155.57386
RTX 4090,bert-large,bf16,4.320805412757072,0.05347487825673662,1430.3734733623185,331.0941990909091
RTX 4090,bert-large,fp16,4.13425478920057,0.039385989107847075,1427.1065262171528,345.22368600000004
RTX 4090,bert-large,fp32,2.032335150597797,0.010664671517241783,808.1202028706334,397.64143647058825
RTX 4090,gpt2,bf16,7.8184153955050455,0.16515429392524206,1496.4644652606266,191.483114
RTX 4090,gpt2,fp16,7.845183898073481,0.15262980142325624,1526.1449046053403,194.606584
RTX 4090,gpt2,fp32,5.6903409813738834,0.12831998312599444,1258.2807058101769,221.242916
RTX 4090,resnet50,bf16,32.99617553060181,1.3990858136038062,4770.9156379664955,144.835815
RTX 4090,resnet50,fp16,35.193712173448255,1.4721501058315776,4877.519257891863,138.8313725
RTX 4090,resnet50,fp32,19.307242461478012,2.824186293286765,2736.3997134786086,143.63659833333332
RX 7900 XT,bert-large,bf16,2.989777241043793,4.208567823373916,617.7900649283658,265.42123647272723
RX 7900 XT,bert-large,fp16,2.243144261090492,0.004159154464032974,613.0055374492706,273.2798011196699
RX 7900 XT,bert-large,fp32,0.1857630679757823,0.0003883362993097153,46.842005195049644,252.16052631578947
RX 7900 XT,gpt2,bf16,4.744016108737296,0.025696642202577898,997.9941051802693,210.375
RX 7900 XT,gpt2,fp16,4.72241373683881,0.015561275024359757,996.7970038953323,211.08
RX 7900 XT,gpt2,fp32,0.7847064810108604,0.005267394153126648,139.66205517365876,177.9875
RX 7900 XT,resnet50,bf16,7.681130595992567,0.22618862956212832,1549.3689358930978,201.8452
RX 7900 XT,resnet50,fp16,19.23120777752616,0.16268756550687472,3084.31057398247,160.3917391304348
RX 7900 XT,resnet50,fp32,9.993924521676666,0.41761943978197963,1551.9867058813047,155.48690476190478
