gpu_short_name,model,precision,speedup_factor,baseline_value,actual_value
RTX 4090,resnet50,fp16,1.7824586203056527,2736.399713478608,4877.519257891863
RTX 4090,resnet50,bf16,1.743501000408138,2736.399713478608,4770.9156379664955
RTX 4090,resnet50,fp32,1.0,2736.399713478608,2736.399713478608
RTX 4090,bert-large,fp16,1.7659582338713151,808.1202028706335,1427.1065262171528
RTX 4090,bert-large,bf16,1.7700008838800154,808.1202028706335,1430.3734733623187
RTX 4090,bert-large,fp32,1.0,808.1202028706335,808.1202028706335
RTX 4090,gpt2,fp16,1.2128811143318707,1258.280705810177,1526.1449046053403
RTX 4090,gpt2,bf16,1.1892930236875,1258.280705810177,1496.464465260627
RTX 4090,gpt2,fp32,1.0,1258.280705810177,1258.280705810177
L40S,resnet50,fp16,1.6852300324145024,2728.7205051699407,4598.521745377657
L40S,resnet50,bf16,1.6021065521942075,2728.7205051699407,4371.70100043945
L40S,resnet50,fp32,1.0,2728.7205051699407,2728.7205051699407
L40S,bert-large,fp16,1.6020067510052436,874.4559914475614,1400.8844017559768
L40S,bert-large,bf16,1.6694861350707146,874.4559914475614,1459.8921534512192
L40S,bert-large,fp32,1.0,874.4559914475614,874.4559914475614
L40S,gpt2,fp16,1.1861444570134474,1422.688471360133,1687.5140443607563
L40S,gpt2,bf16,1.1935911433509623,1422.688471360133,1698.108359162974
L40S,gpt2,fp32,1.0,1422.688471360133,1422.688471360133
RX 7900 XT,resnet50,fp16,1.987330537236158,1551.9867058813054,3084.31057398247
RX 7900 XT,resnet50,bf16,0.9983132780852518,1551.9867058813054,1549.3689358930976
RX 7900 XT,resnet50,fp32,1.0,1551.9867058813054,1551.9867058813054
RX 7900 XT,bert-large,fp16,13.086663025989635,46.842005195049644,613.0055374492706
RX 7900 XT,bert-large,bf16,13.188804842062037,46.842005195049644,617.7900649283658
RX 7900 XT,bert-large,fp32,1.0,46.842005195049644,46.842005195049644
RX 7900 XT,gpt2,fp16,7.1372070435014985,139.66205517365876,996.7970038953322
RX 7900 XT,gpt2,bf16,7.145778457429559,139.66205517365876,997.9941051802692
RX 7900 XT,gpt2,fp32,1.0,139.66205517365876,139.66205517365876
