gpu_short_name,model,precision,speedup_factor,baseline_value,actual_value
L40S,resnet50,fp16,1.768858522844185,685.9102112299541,1213.2781230399596
L40S,resnet50,fp32,1.0,685.9102112299541,685.9102112299541
L40S,resnet50,bf16,1.7329686759158736,685.9102112299541,1188.6609105523507
L40S,bert-large,fp16,1.5294428837199363,237.24060002198163,362.8459474330676
L40S,bert-large,fp32,1.0,237.24060002198163,237.24060002198163
L40S,bert-large,bf16,1.5537427690843424,237.24060002198163,368.61086681738465
L40S,gpt2,fp16,1.1402796832482034,317.79863090639486,362.3793221866566
L40S,gpt2,fp32,1.0,317.79863090639486,317.79863090639486
L40S,gpt2,bf16,1.1849428500132122,317.79863090639486,376.5732154365204
RX 7900 XT,resnet50,fp16,2.079588468099646,288.93730234074604,600.8706819516362
RX 7900 XT,resnet50,fp32,1.0,288.93730234074604,288.93730234074604
RX 7900 XT,resnet50,bf16,1.3597627780908794,288.93730234074604,392.8861889249372
RX 7900 XT,bert-large,fp16,6.654888912909793,25.91511756959252,172.46222859063505
RX 7900 XT,bert-large,fp32,1.0,25.91511756959252,25.91511756959252
RX 7900 XT,bert-large,bf16,6.229146737173566,25.91511756959252,161.4290700520966
RX 7900 XT,gpt2,fp16,3.833197371421796,66.07563836979989,253.2809633141341
RX 7900 XT,gpt2,fp32,1.0,66.07563836979989,66.07563836979989
RX 7900 XT,gpt2,bf16,3.871938508080505,66.07563836979989,255.84080865002994
RTX 4090,resnet50,fp16,1.842720570093892,717.5794426134869,1322.2983995803818
RTX 4090,resnet50,fp32,1.0,717.5794426134869,717.5794426134869
RTX 4090,resnet50,bf16,1.753457407441987,717.5794426134869,1258.244989078711
RTX 4090,bert-large,fp16,1.5503114574251136,229.72058178325878,356.1384499449489
RTX 4090,bert-large,fp32,1.0,229.72058178325878,229.72058178325878
RTX 4090,bert-large,bf16,1.5801462552691017,229.72058178325878,362.9921170630558
RTX 4090,gpt2,fp16,1.2311292772141755,333.8618231720314,411.0270650511899
RTX 4090,gpt2,fp32,1.0,333.8618231720314,333.8618231720314
RTX 4090,gpt2,bf16,1.2512513336043116,333.8618231720314,417.74505148357116
