model,precision,pretrained,device,batch_size,num_batches,warmup_batches,total_samples,total_inference_time_sec,throughput_samples_per_sec,mean_batch_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,peak_memory_mb,gpu_vendor,filename,samples_per_mb,latency_efficiency
bert-large,fp16,True,cuda,32,50,5,1600,1.3419067859649658,1192.3331909000217,26.796274185180664,26.78835391998291,26.880764961242676,26.903653144836426,26.959562301635742,1983.8798828125,NVIDIA,nvidia_inference_bert-large_fp16_bs32_nb50_r1.json,0.6010107775323972,37.318620980264384
resnet50,fp16,True,cuda,128,100,10,12800,2.7974002361297607,4575.677028507356,27.93353796005249,27.951598167419434,27.967214584350586,27.968275547027588,27.97531604766846,867.24072265625,NVIDIA,nvidia_inference_resnet50_fp16_bs128_nb100_r1.json,5.276132576538414,35.799260424157204
bert-large,bf16,True,cuda,32,50,5,1600,2.637399673461914,606.6581474546865,52.726407051086426,52.748680114746094,52.941536903381355,52.979147434234626,53.04818868637084,2019.7236328125,AMD,amd_inference_bert-large_bf16_bs32_nb50_r1.json,0.30036691040244184,18.965828622289845
gpt2,fp32,True,cuda,32,30,5,960,9.06814980506897,105.86503538609092,302.2285223007202,302.237868309021,304.0317058563233,304.3658256530761,304.9534201622009,2679.53125,AMD,amd_inference_gpt2_fp32_bs32_nb30_r1.json,0.03950878922800058,3.308754555617324
bert-large,fp16,True,cuda,32,50,5,1600,2.627213716506958,609.010218676575,52.5124454498291,52.54507064819336,52.63264179229736,52.650833129882805,52.70210981369018,2019.7236328125,AMD,amd_inference_bert-large_fp16_bs32_nb50_r1.json,0.30153146142500586,19.043104761811364
resnet50,fp16,True,cuda,128,100,10,12800,4.839022636413574,2645.162249021153,48.370773792266846,48.372745513916016,48.58858585357666,48.64826202392578,48.68006467819214,810.396484375,AMD,amd_inference_resnet50_fp16_bs128_nb100_r1.json,3.2640347040266033,20.67364074626138
resnet50,fp32,True,cuda,64,100,10,6400,2.5677573680877686,2492.4473314883858,25.636732578277588,25.63619613647461,25.649309158325195,25.651252269744877,25.663914680480957,779.90966796875,NVIDIA,nvidia_inference_resnet50_fp32_bs64_nb100_r1.json,3.1958154051095247,39.006530841895035
gpt2,fp32,True,cuda,32,30,5,960,0.790813684463501,1213.9395395658553,26.264468828837078,26.12626552581787,26.318764686584473,27.22321748733521,27.757725715637207,2656.28125,NVIDIA,nvidia_inference_gpt2_fp32_bs32_nb30_r1.json,0.45700715598766334,38.074251815900034
bert-large,bf16,True,cuda,32,50,5,1600,1.3222124576568604,1210.09297010816,26.40141010284424,26.35800838470459,26.49843692779541,26.619362831115726,26.944303512573242,1983.8798828125,NVIDIA,nvidia_inference_bert-large_bf16_bs32_nb50_r1.json,0.6099628211324163,37.87676476766176
resnet50,fp32,True,cuda,64,100,10,6400,4.685771465301514,1365.8369912814733,46.83758735656738,46.849608421325684,47.00820446014404,47.029900550842285,47.16076135635376,772.72216796875,AMD,amd_inference_resnet50_fp32_bs64_nb100_r1.json,1.7675654302397465,21.350373843707043
gpt2,bf16,True,cuda,48,30,5,1440,1.70552396774292,844.3153114439589,56.80809020996094,53.534865379333496,53.76017093658447,54.38138246536255,127.30060338974009,2401.61279296875,AMD,amd_inference_gpt2_bf16_bs48_nb30_r1.json,0.3515617979367356,17.60312653187303
resnet50,bf16,True,cuda,128,100,10,12800,19.806862592697144,646.2406623005202,198.04792881011963,198.0876922607422,198.39036464691162,198.4675645828247,198.62662553787234,810.3984375,AMD,amd_inference_resnet50_bf16_bs128_nb100_r1.json,0.797435720994366,5.049282797391735
bert-large,fp32,True,cuda,16,50,5,800,21.194702625274658,37.74528070264128,423.87190341949463,423.8368272781372,425.69141387939453,426.65667533874506,427.2021460533142,1419.2783203125,AMD,amd_inference_bert-large_fp32_bs16_nb50_r1.json,0.026594699688169996,2.359203315748737
gpt2,bf16,True,cuda,48,30,5,1440,1.0475733280181885,1374.6054443026044,34.8135789235433,33.77270698547363,34.49428081512451,35.09594202041626,53.36275339126589,2376.619140625,NVIDIA,nvidia_inference_gpt2_bf16_bs48_nb30_r1.json,0.5783869282232207,28.724423943777076
gpt2,fp16,True,cuda,48,30,5,1440,1.0502305030822754,1371.1275722556213,34.906721115112305,33.92601013183594,34.37008857727051,34.95481014251709,53.10774803161623,2376.619140625,NVIDIA,nvidia_inference_gpt2_fp16_bs48_nb30_r1.json,0.5769235586880967,28.647778079822743
resnet50,bf16,True,cuda,128,100,10,12800,2.832556962966919,4518.8852924577495,28.28348159790039,28.268814086914062,28.307533264160156,28.309834003448486,28.6255145072937,867.24072265625,NVIDIA,nvidia_inference_resnet50_bf16_bs128_nb100_r1.json,5.210647026141679,35.356326148837155
bert-large,fp32,True,cuda,16,50,5,800,0.9776420593261719,818.2954000070234,19.510765075683594,19.492626190185547,19.586753845214844,19.66855525970459,19.729607105255127,1375.4033203125,NVIDIA,nvidia_inference_bert-large_fp32_bs16_nb50_r1.json,0.5949494144169303,51.253756381204504
gpt2,fp16,True,cuda,48,30,5,1440,1.839667797088623,782.7500173014282,61.27864519755045,53.35509777069092,53.62663269042969,53.98675203323364,226.86509609222432,2401.61279296875,AMD,amd_inference_gpt2_fp16_bs48_nb30_r1.json,0.3259268186749759,16.318898643666063
