timestamp,utilization_percent,memory_used_mb,power_watts
1758312645.5607362,0,355.625,25.872
1758312646.5632298,0,355.625,25.474
1758312647.6739109,0,355.625,25.856
1758312648.6740925,0,355.625,25.335
1758312649.6747985,0,355.625,24.478
1758312650.675134,0,355.625,24.055
1758312651.6773586,0,355.625,23.762
1758312652.677861,0,355.625,24.031
1758312653.6780314,0,355.625,24.079
1758312654.6782386,0,355.625,23.253
1758312655.6784413,0,355.625,22.907
1758312656.678646,0,355.625,22.891
1758312657.6788626,0,355.625,23.133
1758312658.6790683,0,355.625,22.823
1758312659.679293,0,355.625,22.36
1758312660.6796787,1,1321.1875,22.294
1758312661.6798391,96,13895.1875,166.128
1758312662.6803803,96,13895.1875,388.807
1758312663.6805286,97,13895.1875,384.982
1758312664.6806853,97,13895.1875,386.357
1758312665.680824,97,13895.1875,388.363
1758312666.6810079,97,13895.1875,385.494
1758312667.6811385,96,13895.1875,385.94
1758312668.6813104,97,13895.1875,389.733
1758312669.681442,97,13895.1875,391.277
1758312670.682021,96,13895.1875,393.84
1758312671.682165,97,13895.1875,396.566
1758312672.6851017,97,13895.1875,395.339
1758312673.6852462,97,13895.1875,396.397
1758312674.6854296,96,13895.1875,395.501
1758312675.685562,97,13895.1875,393.47
1758312676.685743,97,13895.1875,397.124
1758312677.685869,97,13895.1875,400.183
1758312678.686044,96,13895.1875,397.274
1758312679.6861928,97,13895.1875,394.012
1758312680.6863573,96,13895.1875,401.564
1758312681.6865058,97,13895.1875,398.324
1758312682.7078977,97,13895.1875,399.506
1758312683.708063,97,13895.1875,399.061
1758312684.708221,97,13895.1875,398.431
1758312685.7084134,97,13895.1875,399.151
1758312686.70854,97,13895.1875,399.703
1758312687.7132351,97,13895.1875,402.113
1758312688.7141414,96,13895.1875,400.869
1758312689.7142928,97,13895.1875,400.867
1758312690.71444,97,13895.1875,399.212
1758312691.7146406,96,13895.1875,401.232
1758312692.7148204,97,13895.1875,404.174
1758312693.7506135,97,13895.1875,401.59
1758312694.7507448,96,13895.1875,402.448
1758312695.750914,97,13895.1875,397.739
1758312696.7510679,97,13895.1875,403.068
1758312697.7512693,96,13895.1875,403.126
1758312698.7514079,97,13895.1875,401.553
1758312699.751596,95,13895.1875,397.601
1758312700.7517278,97,13895.1875,399.958
1758312701.7519083,96,13895.1875,402.462
1758312702.7521474,97,13895.1875,402.413
1758312703.7523303,97,13895.1875,399.559
1758312704.7524805,97,13895.1875,402.661
1758312705.7526717,97,13895.1875,403.054
1758312706.7528214,97,13895.1875,401.956
1758312707.7728922,96,13895.1875,404.74
1758312708.7912,97,13895.1875,403.35
1758312709.791383,97,13895.1875,405.176
1758312710.7915797,97,13895.1875,401.717
1758312711.8105936,97,13895.1875,400.721
1758312712.8107588,97,13895.1875,402.813
1758312713.8109481,97,13895.1875,402.836
1758312714.8111005,97,13895.1875,403.358
1758312715.8112564,97,13895.1875,400.527
1758312716.8114047,97,13895.1875,403.764
1758312717.8115385,97,13895.1875,406.233
1758312718.8117206,96,13895.1875,403.845
1758312719.811847,97,13895.1875,403.494
1758312720.8120103,97,13895.1875,401.456
1758312721.8121998,97,13895.1875,403.465
1758312722.8123612,97,13895.1875,405.325
1758312723.8125377,96,13895.1875,398.135
1758312724.812694,97,13895.1875,398.92
1758312725.8128386,97,13895.1875,398.919
1758312726.813025,96,13895.1875,398.808
1758312727.8131762,97,13895.1875,398.824
1758312728.8133454,97,13895.1875,396.012
1758312729.8134797,97,13895.1875,398.426
1758312730.8136327,97,13895.1875,399.199
1758312731.813782,97,13895.1875,401.356
1758312732.813954,97,13895.1875,401.73
1758312733.8141317,97,13895.1875,395.454
1758312734.8142846,97,13895.1875,400.913
1758312735.8144405,97,13895.1875,401.573
