timestamp,utilization_percent,memory_used_mb,power_watts
1758311919.4592102,0,355.625,25.332
1758311920.4601026,0,355.625,25.585
1758311921.4610786,0,355.625,25.321
1758311922.681833,0,355.625,24.573
1758311923.682,0,355.625,23.79
1758311924.6821656,0,355.625,23.542
1758311925.6823707,0,355.625,23.565
1758311926.6825593,0,355.625,23.561
1758311927.6827157,0,355.625,23.192
1758311928.6843724,0,355.625,22.999
1758311929.6845756,0,355.625,23.204
1758311930.6847777,0,355.625,23.14
1758311931.6849744,0,355.625,22.996
1758311932.685214,0,355.625,22.907
1758311933.6854126,0,355.625,22.717
1758311934.6856067,0,355.625,22.72
1758311935.6857796,24,8515.1875,47.745
1758311936.6859548,97,11529.1875,317.271
1758311937.6887736,97,11529.1875,415.11
1758311938.6889453,96,11529.1875,413.217
1758311939.6890764,97,11529.1875,416.822
1758311940.689249,96,11529.1875,416.628
1758311941.6893847,97,11529.1875,418.101
1758311942.6895568,96,11529.1875,417.779
1758311943.6896808,97,11529.1875,418.917
1758311944.7076466,96,11529.1875,418.191
1758311945.7078001,97,11529.1875,421.453
1758311946.7080839,96,11529.1875,420.988
1758311947.708214,97,11529.1875,421.191
1758311948.7083883,96,11529.1875,421.554
1758311949.7085135,97,11529.1875,420.856
1758311950.7086852,96,11529.1875,422.681
1758311951.7088149,97,11529.1875,422.767
1758311952.708988,94,11529.1875,420.848
1758311953.70912,97,11529.1875,423.203
1758311954.7092965,94,11529.1875,423.113
1758311955.709454,97,11529.1875,424.935
1758311956.709639,95,11529.1875,423.666
1758311957.7097692,97,11529.1875,420.805
1758311958.7100675,96,11529.1875,424.632
1758311959.7101998,97,11529.1875,423.038
1758311960.730218,96,11529.1875,422.274
1758311961.7303722,97,11529.1875,423.207
1758311962.7305133,96,11529.1875,424.962
1758311963.7306664,97,11529.1875,418.236
1758311964.730814,96,11529.1875,421.336
1758311965.730972,97,11529.1875,416.507
1758311966.7387414,97,11529.1875,419.342
1758311967.7388923,97,11529.1875,416.288
1758311968.7390456,97,11529.1875,419.029
1758311969.7392087,96,11529.1875,418.231
1758311970.7393746,97,11529.1875,421.105
1758311971.7395315,96,11529.1875,421.717
1758311972.7396681,97,11529.1875,419.188
1758311973.7398264,95,11529.1875,420.581
1758311974.7399683,97,11529.1875,420.955
1758311975.740131,95,11529.1875,422.029
1758311976.741374,97,11529.1875,420.935
1758311977.7415464,95,11529.1875,421.7
1758311978.7416663,97,11529.1875,419.825
1758311979.7418363,95,11529.1875,420.846
1758311980.7436996,97,11529.1875,427.084
1758311981.7438724,94,11529.1875,424.046
1758311982.7440023,96,11529.1875,421.335
1758311983.7567341,97,11529.1875,422.219
1758311984.7568834,97,11529.1875,422.376
1758311985.7709134,97,11529.1875,420.239
1758311986.7710712,97,11529.1875,423.072
1758311987.7712371,96,11529.1875,420.632
1758311988.786457,95,11529.1875,421.88
1758311989.7865999,96,11529.1875,421.472
1758311990.7867575,95,11529.1875,421.259
1758311991.787004,97,11529.1875,423.991
1758311992.7871566,96,11529.1875,426.292
1758311993.7873352,97,11529.1875,423.615
1758311994.8083305,96,11529.1875,423.296
1758311995.8085184,97,11529.1875,423.949
1758311996.8086734,95,11529.1875,420.998
1758311997.808835,97,11529.1875,422.939
1758311998.8089883,96,11529.1875,421.092
1758311999.8091874,97,11529.1875,423.884
1758312000.8093393,96,11529.1875,421.816
1758312001.8094814,97,11529.1875,422.88
1758312002.8096335,95,11529.1875,422.691
1758312003.809778,97,11529.1875,423.184
1758312004.809942,97,11529.1875,422.386
1758312005.8100839,96,11529.1875,423.617
1758312006.8102398,97,11529.1875,422.654
1758312007.810371,96,11529.1875,425.192
1758312008.8105357,97,11529.1875,421.691
1758312009.810693,96,11529.1875,424.22
1758312010.8246884,97,11529.1875,426.404
1758312011.8248394,95,11529.1875,423.893
1758312012.8249884,97,11529.1875,424.773
1758312013.8251429,96,11529.1875,421.529
1758312014.825294,97,11529.1875,426.631
1758312015.8254464,96,11529.1875,425.485
1758312016.8256514,96,11529.1875,425.532
1758312017.825802,96,11529.1875,425.569
1758312018.8259401,97,11529.1875,424.792
1758312019.8260956,97,11529.1875,424.666
1758312020.835679,96,11529.1875,427.784
1758312021.8411298,97,11529.1875,424.832
1758312022.841262,96,11529.1875,422.013
1758312023.841418,97,11529.1875,424.822
1758312024.8415356,95,11529.1875,426.474
1758312025.8416886,97,11529.1875,427.21
1758312026.8418338,95,11529.1875,425.635
1758312027.8419912,96,11529.1875,424.632
1758312028.8421144,96,11529.1875,424.707
1758312029.8422682,97,11529.1875,426.375
1758312030.8448417,96,11529.1875,426.137
1758312031.8861887,97,11529.1875,425.49
1758312032.8863192,96,11529.1875,427.145
1758312033.8864443,97,11529.1875,423.113
1758312034.8865988,97,11529.1875,424.892
1758312035.8866951,96,11529.1875,425.419
1758312036.8868752,97,11529.1875,427.473
1758312037.887028,96,11529.1875,426.049
1758312038.8871825,97,11529.1875,424.353
1758312039.887308,95,11529.1875,426.242
1758312040.8874617,97,11529.1875,427.678
1758312041.8875968,96,11529.1875,426.566
1758312042.887741,97,11529.1875,424.335
1758312043.8878555,96,11529.1875,424.919
1758312044.8880002,96,11529.1875,422.1
1758312045.8958623,96,11529.1875,426.374
1758312046.8960104,97,11529.1875,423.584
1758312047.8961656,97,11529.1875,425.02
1758312048.8963253,96,11529.1875,424.556
1758312049.897627,97,11529.1875,424.441
1758312050.8977747,96,11529.1875,426.75
1758312051.897899,97,11529.1875,426.653
1758312052.8980448,95,11529.1875,424.223
1758312053.8981943,97,11529.1875,425.39
1758312054.9203477,95,11529.1875,423.576
1758312055.9204779,97,11529.1875,429.027
1758312056.9206007,96,11529.1875,429.127
1758312057.9212646,97,11529.1875,424.673
1758312058.9213643,96,11529.1875,426.409
1758312059.9215117,97,11529.1875,423.349
1758312060.9216354,96,11529.1875,427.465
1758312061.921779,96,11529.1875,423.62
1758312062.9219024,95,11529.1875,426.418
1758312063.9220521,96,11529.1875,424.883
1758312064.9276302,97,11529.1875,427.487
1758312065.9277742,96,11529.1875,427.877
1758312066.9279099,97,11529.1875,427.777
1758312067.9280596,97,11529.1875,425.077
1758312068.9282184,97,11529.1875,426.202
1758312069.961756,94,11529.1875,425.813
1758312070.961858,97,11529.1875,429.447
1758312071.962006,96,11529.1875,427.731
1758312072.9621294,97,11529.1875,428.043
1758312073.9622903,97,11529.1875,358.368
1758312074.9624138,97,11529.1875,413.97
1758312075.9626086,97,11529.1875,413.365
1758312076.962714,95,11529.1875,415.461
1758312077.9628754,97,11529.1875,412.613
1758312078.963027,96,11529.1875,412.797
1758312079.963123,97,11529.1875,416.212
1758312080.9632683,96,11529.1875,416.863
1758312081.9633908,97,11529.1875,416.205
1758312082.9635327,97,11529.1875,413.62
1758312083.966589,96,11529.1875,414.818
1758312084.966742,97,11529.1875,414.766
1758312085.9668407,97,11529.1875,416.766
1758312086.9670498,97,11529.1875,415.003
1758312087.967186,97,11529.1875,415.296
1758312088.967329,97,11529.1875,413.989
1758312089.967452,97,11529.1875,413.214
1758312090.9676,97,11529.1875,414.997
1758312091.9676955,96,11529.1875,414.763
1758312092.9678414,96,11529.1875,414.132
1758312093.9679663,97,11529.1875,415.068
1758312094.9681137,96,11529.1875,414.115
1758312095.9682534,97,11529.1875,413.132
1758312096.9684072,95,11529.1875,411.705
1758312097.9685297,97,11529.1875,411.246
1758312098.9687068,96,11529.1875,411.322
1758312099.9781039,96,11529.1875,415.777
1758312100.9782045,96,11529.1875,417.506
1758312101.9783497,95,11529.1875,414.913
1758312102.978473,97,11529.1875,414.407
1758312103.9786997,97,11529.1875,414.081
1758312104.9788294,97,11529.1875,415.118
1758312105.9789855,97,11529.1875,416.827
1758312106.9790874,97,11529.1875,415.751
1758312107.9792504,95,11529.1875,412.718
1758312108.9794135,97,11529.1875,415.155
1758312109.979566,96,11529.1875,412.689
1758312110.9830205,97,11529.1875,416.862
1758312111.9831908,96,11529.1875,415.442
1758312112.9832935,96,11529.1875,415.001
1758312113.9834433,97,11529.1875,414.022
1758312114.9837196,97,11529.1875,415.362
1758312115.983877,97,11529.1875,416.505
1758312116.9840014,95,11529.1875,414.285
1758312117.984155,96,11529.1875,417.417
1758312118.9843142,96,11529.1875,413.207
1758312119.9845037,97,11529.1875,415.365
1758312120.9846091,96,11529.1875,416.105
1758312121.9847853,97,11529.1875,414.886
1758312122.9849563,97,11529.1875,414.072
1758312123.9850652,97,11529.1875,414.705
1758312124.9852133,97,11529.1875,416.584
1758312125.98534,97,11529.1875,416.846
1758312126.9948726,97,11529.1875,414.907
1758312127.9949944,95,11529.1875,412.442
1758312128.9951444,97,11529.1875,414.833
1758312130.0069332,96,11529.1875,411.656
1758312131.0070884,97,11529.1875,415.663
1758312132.007231,96,11529.1875,415.52
1758312133.0132642,96,11529.1875,414.7
1758312134.013384,97,11529.1875,415.093
1758312135.0135648,96,11529.1875,414.454
1758312136.0136652,97,11529.1875,416.446
1758312137.013814,95,11529.1875,415.455
1758312138.0139413,97,11529.1875,414.659
1758312139.0141273,95,11529.1875,414.638
1758312140.0142758,97,11529.1875,412.66
1758312141.014426,96,11529.1875,417.02
1758312142.0145242,97,11529.1875,412.714
1758312143.0146713,97,11529.1875,414.791
1758312144.01483,97,11529.1875,414.473
1758312145.01498,97,11529.1875,415.343
1758312146.0151687,97,11529.1875,412.732
1758312147.0152948,97,11529.1875,415.245
1758312148.0154274,95,11529.1875,412.154
1758312149.0155442,97,11529.1875,416.618
1758312150.0156853,96,11529.1875,411.778
1758312151.0157917,97,11529.1875,415.478
1758312152.0159302,96,11529.1875,415.466
1758312153.0160515,96,11529.1875,413.691
1758312154.0162294,97,11529.1875,414.586
1758312155.0163538,97,11529.1875,415.403
1758312156.043003,97,11529.1875,415.657
1758312157.0431032,95,11529.1875,415.647
1758312158.0432518,96,11529.1875,414.598
1758312159.0433726,96,11529.1875,412.12
1758312160.043525,96,11529.1875,415.991
1758312161.0436609,96,11529.1875,413.831
1758312162.0437987,97,11529.1875,413.155
1758312163.0438943,97,11529.1875,416.228
1758312164.0440402,97,11529.1875,415.86
1758312165.0441604,97,11529.1875,414.038
1758312166.0447047,97,11529.1875,416.752
1758312167.0448494,97,11529.1875,416.818
1758312168.0449667,95,11529.1875,414.348
1758312169.0582194,97,11529.1875,415.642
1758312170.0583417,96,11529.1875,416.872
1758312171.0584798,97,11529.1875,414.06
1758312172.0585861,96,11529.1875,416.156
1758312173.0587263,96,11529.1875,411.842
1758312174.0588334,97,11529.1875,414.264
1758312175.0589714,97,11529.1875,414.971
1758312176.0590823,97,11529.1875,416.27
1758312177.05925,95,11529.1875,415.268
1758312178.0593529,97,11529.1875,415.903
1758312179.059492,96,11529.1875,414.758
1758312180.0595937,97,11529.1875,413.92
1758312181.0597486,95,11529.1875,416.369
1758312182.0607553,97,11529.1875,414.037
1758312183.0609004,97,11529.1875,416.635
1758312184.0609996,97,11529.1875,413.977
1758312185.0721552,97,11529.1875,412.269
1758312186.072264,97,11529.1875,416.456
1758312187.07241,97,11529.1875,416.237
1758312188.0725303,95,11529.1875,414.623
1758312189.0728166,97,11529.1875,414.935
1758312190.0729606,96,11529.1875,418.615
1758312191.073092,97,11529.1875,415.348
1758312192.073234,96,11529.1875,415.673
1758312193.0733373,96,11529.1875,414.963
1758312194.073505,97,11529.1875,414.252
1758312195.0784776,97,11529.1875,415.846
1758312196.0786679,97,11529.1875,417.043
1758312197.078774,97,11529.1875,416.953
1758312198.0789142,97,11529.1875,416.706
1758312199.0790248,96,11529.1875,415.561
1758312200.0791628,97,11529.1875,413.144
1758312201.0793223,97,11529.1875,416.661
1758312202.0794659,96,11529.1875,412.566
1758312203.0795684,97,11529.1875,416.058
1758312204.0797067,96,11529.1875,413.17
1758312205.079808,97,11529.1875,415.091
1758312206.0799475,96,11529.1875,417.086
