timestamp,utilization_percent,memory_used_mb,power_watts
1758381516.5841262,0,355.625,25.084
1758381517.5844195,0,355.625,24.638
1758381518.6668415,0,355.625,23.712
1758381519.6670349,0,355.625,24.118
1758381520.669325,0,355.625,24.179
1758381521.6744123,0,355.625,23.693
1758381522.6745934,0,355.625,23.625
1758381523.674757,0,355.625,23.363
1758381524.6749227,0,355.625,23.316
1758381525.6750772,0,355.625,23.312
1758381526.675265,6,1877.1875,26.755
1758381527.675415,91,16961.1875,238.529
1758381528.6755297,99,16961.1875,329.905
1758381529.675637,98,16961.1875,331.756
1758381530.6757617,99,16961.1875,329.998
1758381531.675864,99,16961.1875,331.783
1758381532.6760004,99,16961.1875,330.448
1758381533.6761065,99,16961.1875,331.023
1758381534.6762075,99,16961.1875,333.083
1758381535.6763172,99,16961.1875,331.778
1758381536.6764398,97,16961.1875,332.438
1758381537.6765463,98,16961.1875,332.403
1758381538.6766472,99,16961.1875,335.664
1758381539.6767483,99,16961.1875,337.98
1758381540.6768587,99,16961.1875,336.322
1758381541.6769607,97,16961.1875,335.879
1758381542.6770608,98,16961.1875,336.409
1758381543.6771605,99,16961.1875,336.736
1758381544.6772616,97,16961.1875,338.155
1758381545.6773827,98,16961.1875,337.433
1758381546.6775143,99,16961.1875,337.312
1758381547.67764,99,16961.1875,338.889
1758381548.6777415,99,16961.1875,338.126
1758381549.677842,98,16961.1875,339.905
1758381550.67794,99,16961.1875,339.266
1758381551.6780393,98,16961.1875,338.763
1758381552.6781676,99,16961.1875,338.833
1758381553.6782691,98,16961.1875,338.522
1758381554.6783693,99,16961.1875,341.315
1758381555.6784723,99,16961.1875,339.031
1758381556.6786153,98,16961.1875,338.949
1758381557.6787248,99,16961.1875,339.11
1758381558.6788273,97,16961.1875,339.514
1758381559.6789284,99,16961.1875,341.176
1758381560.6790364,99,16961.1875,338.222
1758381561.6791406,98,16961.1875,338.194
1758381562.6796782,99,16961.1875,338.467
1758381563.6797817,99,16961.1875,338.421
1758381564.6798828,98,16961.1875,340.557
1758381565.6799836,99,16961.1875,338.412
1758381566.680124,98,16961.1875,339.204
1758381567.6802504,99,16961.1875,338.642
1758381568.6803493,99,16961.1875,338.827
1758381569.680456,98,16961.1875,341.502
1758381570.680562,99,16961.1875,338.526
1758381571.680662,98,16961.1875,338.276
1758381572.6807826,99,16961.1875,338.117
1758381573.680883,99,16961.1875,338.608
1758381574.680983,98,16961.1875,340.648
1758381575.6810825,99,16961.1875,338.529
1758381576.6811838,98,16961.1875,338.463
1758381577.6813157,99,16961.1875,338.143
1758381578.6814165,99,16961.1875,338.552
1758381579.6815166,98,16961.1875,340.241
1758381580.6816192,99,16961.1875,338.73
1758381581.6817307,98,16961.1875,338.464
1758381582.6818304,99,16961.1875,338.738
1758381583.6853275,99,16961.1875,339.141
1758381584.686003,99,16961.1875,339.98
1758381585.686102,98,16961.1875,339.538
1758381586.6862025,99,16961.1875,338.43
1758381587.6863377,99,16961.1875,338.582
1758381588.6865125,98,16961.1875,339.262
1758381589.6866148,99,16961.1875,340.086
1758381590.686716,98,16961.1875,338.644
1758381591.686858,98,16961.1875,338.601
1758381592.686971,99,16961.1875,339.022
1758381593.6870782,98,16961.1875,339.455
1758381594.687185,99,16961.1875,340.417
1758381595.6872833,98,16961.1875,340.05
1758381596.6874092,99,16961.1875,340.556
1758381597.687549,99,16961.1875,338.705
1758381598.6876514,98,16961.1875,339.116
1758381599.6877496,99,16961.1875,339.518
1758381600.6878488,98,16961.1875,340.296
1758381601.6879685,99,16961.1875,338.898
1758381602.6880677,99,16961.1875,338.991
1758381603.6881654,99,16961.1875,339.205
1758381604.6882658,99,16961.1875,340.392
1758381605.6883621,99,16961.1875,340.114
1758381606.688461,99,16961.1875,339.49
1758381607.688594,98,16961.1875,339.068
1758381608.6886945,99,16961.1875,338.461
1758381609.6887937,99,16961.1875,340.222
1758381610.6921299,98,16961.1875,340.217
1758381611.6924527,98,16961.1875,339.368
1758381612.6925502,98,16961.1875,339.051
1758381613.69267,99,16961.1875,338.819
1758381614.6927686,99,16961.1875,340.157
1758381615.693106,98,16961.1875,340.397
1758381616.6932046,99,16961.1875,339.566
1758381617.6933012,98,16961.1875,338.952
1758381618.693432,99,16961.1875,340.102
1758381619.6935394,99,16961.1875,340.743
1758381620.6936395,98,16961.1875,340.75
1758381621.6937459,99,16961.1875,340.156
1758381622.6938455,98,16961.1875,340.228
1758381623.6940112,99,16961.1875,341.088
1758381624.6941104,99,16961.1875,340.645
1758381625.694209,98,16961.1875,340.712
1758381626.6943076,99,16961.1875,340.179
1758381627.6944041,98,16961.1875,340.084
1758381628.6945353,99,16961.1875,340.437
1758381629.6946342,98,16961.1875,340.399
1758381630.694731,99,16961.1875,340.462
1758381631.6948419,99,16961.1875,340.094
1758381632.6949356,98,16961.1875,340.488
1758381633.695029,99,16961.1875,340.146
1758381634.6951232,98,16961.1875,340.328
1758381635.6952157,99,16961.1875,341.067
1758381636.6953151,99,16961.1875,340.289
1758381637.6954088,98,16961.1875,340.442
1758381638.695537,99,16961.1875,340.042
1758381639.6956332,98,16961.1875,340.688
1758381640.695744,99,16961.1875,340.989
1758381641.6958382,99,16961.1875,340.2
1758381642.6959305,98,16961.1875,340.339
1758381643.6960268,99,16961.1875,339.941
1758381644.696154,98,16961.1875,340.572
1758381645.6962922,98,16961.1875,341.006
1758381646.696393,99,16961.1875,340.052
1758381647.6964877,98,16961.1875,340.717
1758381648.6966257,99,16961.1875,340.122
1758381649.6967275,98,16961.1875,340.277
1758381650.6968267,99,16961.1875,340.749
1758381651.6969516,99,16961.1875,339.924
1758381652.6970599,98,16961.1875,340.014
1758381653.6971555,99,16961.1875,340.155
1758381654.6972516,98,16961.1875,341.026
