model,precision,batch_size,throughput,mean_latency_ms,total_time_sec,success
bert-large,bf16,1024,1328.089676662093,770.9601736068726,38.551613569259644,1
bert-large,bf16,128,1297.7176046369002,98.58778476715088,4.931735515594482,1
bert-large,bf16,12,441.0231893668611,27.16689109802246,1.3604726791381836,1
bert-large,bf16,16,590.4795591715232,27.05380916595459,1.3548309803009033,1
bert-large,bf16,192,1303.3161713861616,147.26769924163818,7.365825891494751,1
bert-large,bf16,1,36.22312588273436,27.56290912628174,1.380333662033081,1
bert-large,bf16,24,890.0620653396988,26.922554969787598,1.3482205867767334,1
bert-large,bf16,256,1308.7711579476186,195.55200576782227,9.780166625976562,1
bert-large,bf16,2,72.47372888150419,27.552294731140137,1.3798103332519531,1
bert-large,bf16,32,1188.5393187186512,26.882166862487793,1.3461902141571045,1
bert-large,bf16,384,1316.655299507119,291.5918207168579,14.582404375076294,1
bert-large,bf16,48,1398.7818795727976,34.27174091339111,1.7157785892486572,1
bert-large,bf16,4,150.21734093032734,26.586570739746094,1.331404209136963,1
bert-large,bf16,512,1320.2196832771629,387.75481700897217,19.39071226119995,1
bert-large,bf16,64,1427.4893236944797,44.78921890258789,2.2416980266571045,1
bert-large,bf16,768,1324.8512289218215,579.619836807251,28.984386444091797,1
bert-large,bf16,8,301.6151492739361,26.48141860961914,1.3261933326721191,1
bert-large,bf16,96,1322.417975099656,72.54758834838867,3.6297147274017334,1
bert-large,fp16,1024,1330.281182327237,769.687614440918,38.48810362815857,1
bert-large,fp16,128,1299.0416913108397,98.4864854812622,4.926708698272705,1
bert-large,fp16,12,438.69931698330487,27.311744689941406,1.3676793575286865,1
bert-large,fp16,16,591.8471694392499,26.991543769836426,1.3517003059387207,1
bert-large,fp16,192,1304.3654220886974,147.14760303497314,7.359900712966919,1
bert-large,fp16,1,36.34051068492999,27.476859092712402,1.3758749961853027,1
bert-large,fp16,24,883.2789864578268,27.130403518676758,1.3585741519927979,1
bert-large,fp16,256,1298.0021458209017,197.1740198135376,9.861308813095093,1
bert-large,fp16,2,73.98303628786593,26.990256309509277,1.351661205291748,1
bert-large,fp16,32,1189.8663022244193,26.850709915161133,1.344688892364502,1
bert-large,fp16,384,1306.1661274793462,293.9362049102783,14.699508428573608,1
bert-large,fp16,48,1387.2553089098399,34.55799579620361,1.7300348281860352,1
bert-large,fp16,4,147.36654965566018,27.10089683532715,1.3571600914001465,1
bert-large,fp16,512,1320.5440449220837,387.64644145965576,19.38594937324524,1
bert-large,fp16,64,1427.2983566649486,44.79482173919678,2.2419979572296143,1
bert-large,fp16,768,1325.4855400061185,579.3394041061401,28.970515966415405,1
bert-large,fp16,8,294.3022195964128,27.13913917541504,1.359147071838379,1
bert-large,fp16,96,1324.190622219641,72.4498176574707,3.6248557567596436,1
bert-large,fp32,1024,813.2022456731129,1259.129467010498,62.96096730232239,1
bert-large,fp32,128,799.9936581160706,159.94977951049805,8.000063419342041,1
bert-large,fp32,12,617.7114521647052,19.386024475097656,0.9713273048400879,1
bert-large,fp32,16,806.6238751727522,19.795212745666504,0.9917881488800049,1
bert-large,fp32,192,801.7438353027092,239.42548751831055,11.973899364471436,1
bert-large,fp32,1,52.69328074940143,18.9383602142334,0.9488875865936279,1
bert-large,fp32,24,745.3140708112551,32.15636730194092,1.6100594997406006,1
bert-large,fp32,256,803.4556120150015,318.5644292831421,15.931185007095337,1
bert-large,fp32,2,106.0402402898931,18.82032871246338,0.9430382251739502,1
bert-large,fp32,32,818.9728629950288,39.0290641784668,1.9536666870117188,1
bert-large,fp32,384,804.7843687627332,477.0853805541992,23.857322216033936,1
bert-large,fp32,48,818.6991064548887,58.58291149139404,2.9314799308776855,1
bert-large,fp32,4,211.98261908943536,18.829989433288574,0.9434735774993896,1
bert-large,fp32,512,804.5076507930236,636.3415622711182,31.820704221725464,1
bert-large,fp32,64,807.4751007751639,79.21351432800293,3.962970495223999,1
bert-large,fp32,768,807.7644031564491,950.6909132003784,47.53861379623413,1
bert-large,fp32,8,406.6991902240247,19.630250930786133,0.9835278987884521,1
bert-large,fp32,96,789.0487754683002,121.61571979522705,6.0832741260528564,1
gpt2,bf16,1024,0,0,0,0
gpt2,bf16,128,1433.6664155767469,89.1769027709961,4.464078903198242,1
gpt2,bf16,12,734.0981433598746,16.249570846557617,0.8173294067382812,1
gpt2,bf16,16,976.5945712006394,16.2856388092041,0.8191730976104736,1
gpt2,bf16,192,1425.6288402097443,134.56775188446045,6.733870506286621,1
gpt2,bf16,1,66.79415133304711,14.871654510498047,0.7485685348510742,1
gpt2,bf16,24,1412.6326141576349,16.893949508666992,0.8494777679443359,1
gpt2,bf16,256,1436.205357515466,178.13332080841064,8.912374496459961,1
gpt2,bf16,2,134.78087484250193,14.74297046661377,0.7419450283050537,1
gpt2,bf16,32,1476.5478602344915,21.57465934753418,1.083608627319336,1
gpt2,bf16,384,1431.264553022174,268.16925048828125,13.414710760116577,1
gpt2,bf16,48,1392.6111572640361,34.365234375,1.7233812808990479,1
gpt2,bf16,4,267.3297800297968,14.867439270019531,0.7481396198272705,1
gpt2,bf16,512,1434.2482742672782,356.8584632873535,17.849071502685547,1
gpt2,bf16,64,1449.2043547697629,44.06007766723633,2.2081081867218018,1
gpt2,bf16,768,0,0,0,0
gpt2,bf16,8,515.7064829651835,15.417237281799316,0.7756350040435791,1
gpt2,bf16,96,1454.5372787388683,65.89337348937988,3.300018548965454,1
gpt2,fp16,1024,0,0,0,0
gpt2,fp16,128,1429.4829512474373,89.43639278411865,4.477143287658691,1
gpt2,fp16,12,747.7308530419007,15.950522422790527,0.8024277687072754,1
gpt2,fp16,16,976.36070118754,16.28864288330078,0.8193693161010742,1
gpt2,fp16,192,1424.4132632927767,134.6833324432373,6.739617109298706,1
gpt2,fp16,1,63.34222134161001,15.690784454345703,0.789362907409668,1
gpt2,fp16,24,1396.9065901691304,17.083382606506348,0.8590409755706787,1
gpt2,fp16,256,1435.1550177036993,178.26708793640137,8.918897151947021,1
gpt2,fp16,2,133.94636338349412,14.835577011108398,0.7465674877166748,1
gpt2,fp16,32,1504.6584215101411,21.168408393859863,1.0633642673492432,1
gpt2,fp16,384,1431.953509835574,268.04264545440674,13.408256530761719,1
gpt2,fp16,48,1382.825528601613,34.610657691955566,1.735576868057251,1
gpt2,fp16,4,253.22586000897155,15.697956085205078,0.7898087501525879,1
gpt2,fp16,512,1434.5548284951426,356.78138732910156,17.84525728225708,1
gpt2,fp16,64,1446.2634114593154,44.15098190307617,2.2125983238220215,1
gpt2,fp16,768,0,0,0,0
gpt2,fp16,8,505.86838364815145,15.719671249389648,0.7907195091247559,1
gpt2,fp16,96,1454.9709965668521,65.87849140167236,3.299034833908081,1
gpt2,fp32,1024,0,0,0,0
gpt2,fp32,128,1168.7304879027338,109.41284656524658,5.476027250289917,1
gpt2,fp32,12,891.8687200889111,13.360295295715332,0.6727447509765625,1
gpt2,fp32,16,1096.3444112117531,14.495830535888672,0.7296977043151855,1
gpt2,fp32,192,1153.7215887381387,166.30719661712646,8.320898294448853,1
gpt2,fp32,1,84.47272618883623,11.745686531066895,0.5919070243835449,1
gpt2,fp32,24,1230.183355599583,19.409523010253906,0.9754643440246582,1
gpt2,fp32,256,1170.6428895901402,218.5726261138916,10.934162855148315,1
gpt2,fp32,2,169.13273134402385,11.730666160583496,0.5912516117095947,1
gpt2,fp32,32,1191.3182654140837,26.762566566467285,1.3430500030517578,1
gpt2,fp32,384,0,0,0,0
gpt2,fp32,48,1099.7615367664596,43.54652404785156,2.182291269302368,1
gpt2,fp32,4,326.3461874378273,12.164053916931152,0.6128461360931396,1
gpt2,fp32,512,0,0,0,0
gpt2,fp32,64,1174.8682824486484,54.374799728393555,2.7237095832824707,1
gpt2,fp32,768,0,0,0,0
gpt2,fp32,8,596.3709886684928,13.318328857421875,0.6707234382629395,1
gpt2,fp32,96,1149.2774237573988,83.4244966506958,4.176537275314331,1
resnet50,bf16,1024,4278.72542543407,239.2705488204956,11.966180324554443,1
resnet50,bf16,128,4513.41590358707,28.31812858581543,1.417994737625122,1
resnet50,bf16,12,1071.946670642231,11.154565811157227,0.5597293376922607,1
resnet50,bf16,16,1424.8112002968992,11.190590858459473,0.5614778995513916,1
resnet50,bf16,192,4451.087713868016,43.09214115142822,2.156776189804077,1
resnet50,bf16,1,91.86785305012458,10.847382545471191,0.5442600250244141,1
resnet50,bf16,24,2188.270679306889,10.929031372070312,0.5483782291412354,1
resnet50,bf16,256,4374.619671030985,58.47623348236084,2.925968647003174,1
resnet50,bf16,2,178.3924323538056,11.173114776611328,0.5605618953704834,1
resnet50,bf16,32,2844.5830989652763,11.208648681640625,0.5624725818634033,1
resnet50,bf16,384,4320.675893657381,88.82800579071045,4.443749189376831,1
resnet50,bf16,48,4142.805475600391,11.545848846435547,0.579317569732666,1
resnet50,bf16,4,356.624993995037,11.177053451538086,0.5608131885528564,1
resnet50,bf16,512,4282.903385061095,119.49620246887207,5.977253675460815,1
resnet50,bf16,64,4768.4253982104065,13.380093574523926,0.6710810661315918,1
resnet50,bf16,768,4288.293681840572,179.0398645401001,8.954610586166382,1
resnet50,bf16,8,700.8237507560796,11.376571655273438,0.5707569122314453,1
resnet50,bf16,96,4696.02211060762,20.4007625579834,1.022141695022583,1
resnet50,fp16,1024,4259.959629359465,240.32692432403564,12.018893241882324,1
resnet50,fp16,128,4506.206731692512,28.36315631866455,1.4202632904052734,1
resnet50,fp16,12,1190.2150640869506,10.043373107910156,0.50411057472229,1
resnet50,fp16,16,1554.2417552691331,10.253491401672363,0.5147204399108887,1
