timestamp,utilization_percent,memory_used_mb,power_watts
1760797032.4728668,0,355.625,36.875
1760797033.4747205,0,355.625,36.628
1760797034.4748752,0,355.625,34.237
1760797035.475052,0,355.625,30.819
1760797036.4752233,0,355.625,25.834
1760797037.4753828,0,355.625,22.623
1760797038.4755275,0,355.625,21.223
1760797039.4756827,0,355.625,21.666
1760797040.4758303,0,355.625,21.847
1760797041.4759817,40,2095.1875,25.91
1760797042.4968405,97,13895.1875,222.714
1760797043.4976823,97,13895.1875,378.898
1760797044.4979172,97,13895.1875,383.184
1760797045.4980638,97,13895.1875,381.172
1760797046.49817,97,13895.1875,378.37
1760797047.4983115,97,13895.1875,382.25
1760797048.4984143,97,13895.1875,383.906
1760797049.499579,96,13895.1875,383.095
1760797050.4996834,97,13895.1875,384.469
1760797051.499839,97,13895.1875,384.375
1760797052.4999447,97,13895.1875,385.345
1760797053.500088,97,13895.1875,384.559
1760797054.5001924,97,13895.1875,383.254
1760797055.500331,97,13895.1875,386.029
1760797056.5004718,97,13895.1875,382.517
1760797057.5006125,96,13895.1875,381.783
1760797058.500721,97,13895.1875,379.892
1760797059.5008645,97,13895.1875,383.719
