timestamp,utilization_percent,memory_used_mb,power_watts
1760796282.8684697,0,355.625,37.232
1760796283.8686674,0,355.625,35.717
1760796284.8702927,0,355.625,29.461
1760796285.8705056,0,355.625,28.065
1760796286.8706696,0,355.625,24.274
1760796287.8708186,0,355.625,24.274
1760796288.870971,0,355.625,21.631
1760796289.8711286,0,355.625,21.772
1760796290.8712943,0,355.625,21.865
1760796291.8715236,38,2095.1875,27.159
1760796292.8716595,90,8239.1875,240.016
1760796293.8717988,88,8239.1875,326.82
1760796294.8719049,88,8239.1875,327.135
1760796295.8781812,87,8239.1875,328.435
1760796296.8783305,91,8239.1875,330.002
1760796297.8784492,91,8239.1875,329.049
1760796298.8786404,89,8239.1875,325.989
1760796299.87881,88,8239.1875,328.688
1760796300.8789546,91,8239.1875,331.093
