timestamp,utilization_percent,memory_used_mb,power_watts
1760795523.2700515,0,355.625,26.471
1760795524.271417,0,355.625,24.077
1760795525.2716367,0,355.625,21.734
1760795526.2718673,0,355.625,21.388
1760795527.2720208,69,9313.1875,61.437
1760795528.2722015,95,10099.1875,319.065
1760795529.272302,96,10099.1875,321.303
1760795530.2724364,96,10113.1875,316.134
1760795531.2727396,96,10113.1875,319.765
1760795532.2728348,95,10113.1875,319.188
1760795533.2729282,96,10113.1875,321.306
1760795534.2730227,96,10113.1875,320.673
