timestamp,utilization_percent,memory_used_mb,power_watts
1760788229.5326676,0,355.625,26.085
1760788230.5328536,8,6239.1875,40.325
1760788231.5330048,99,7561.1875,216.522
1760788232.533112,99,7561.1875,341.392
1760788233.5332117,99,7561.1875,343.276
1760788234.5333047,99,7561.1875,341.555
1760788235.5334303,99,7561.1875,341.789
1760788236.533533,99,7561.1875,341.709
1760788237.5338156,99,7561.1875,341.598
1760788238.533911,99,7561.1875,343.662
1760788239.5340052,99,7561.1875,342.539
1760788240.5342321,99,7561.1875,342.794
