timestamp,utilization_percent,memory_used_mb,power_watts
1760787959.084041,9,26.6796875,46.0
1760787960.0847788,51,570.14453125,118.0
1760787961.0851636,78,1319.984375,198.0
1760787962.0855315,91,2990.00390625,250.0
1760787963.08616,79,3238.05859375,202.0
1760787964.086687,88,3582.12890625,239.0
1760787965.0871196,99,4376.1328125,261.0
1760787966.0875137,88,4426.15234375,230.0
1760787967.0878963,58,4664.19921875,161.0
1760787968.0882719,100,4664.19921875,266.0
1760787969.0886824,99,5386.203125,252.0
1760787970.0891335,80,5434.2265625,190.0
1760787971.089642,89,5460.2578125,169.0
1760787972.0902011,90,5550.2734375,171.0
1760787973.0906026,100,5550.2734375,203.0
1760787974.0910234,100,5534.2734375,211.0
1760787975.0916317,86,5824.89453125,169.0
1760787976.0921063,82,5882.08984375,167.0
1760787977.0928392,85,5873.02734375,207.0
1760787978.0931273,100,5873.02734375,212.0
1760787979.0933456,99,5849.04296875,202.0
1760787980.0937657,99,5849.05859375,202.0
1760787981.094222,100,5917.1484375,266.0
1760787982.0944324,100,5917.1484375,271.0
1760787983.0947485,100,5917.1484375,252.0
1760787984.0950067,100,5917.1484375,246.0
1760787985.095431,100,5819.19921875,266.0
1760787986.0956314,100,5819.21484375,272.0
1760787987.0959046,99,5783.21484375,250.0
1760787988.096181,100,5783.21484375,240.0
1760787989.0964086,100,5783.21484375,230.0
1760787990.0966833,99,5733.21484375,222.0
1760787991.0971656,89,5811.24609375,224.0
1760787992.0973825,100,5733.24609375,274.0
1760787993.0977159,90,5733.26171875,237.0
1760787994.098368,90,5635.27734375,239.0
1760787995.098785,99,5557.27734375,229.0
1760787996.0990565,99,5579.29296875,234.0
1760787997.0994706,100,5685.29296875,271.0
1760787998.0997825,100,5685.29296875,273.0
1760787999.099992,100,5685.29296875,274.0
1760788000.1003745,100,5047.29296875,272.0
1760788001.1006012,100,5047.29296875,274.0
1760788002.1010375,99,4975.30859375,258.0
1760788003.1012642,100,4975.30859375,255.0
1760788004.101551,100,4975.30859375,243.0
1760788005.1018705,89,5009.34375,205.0
1760788006.102141,100,4859.34375,271.0
1760788007.1023667,100,4859.34375,269.0
1760788008.1026635,91,4613.359375,240.0
1760788009.102967,91,4613.375,235.0
1760788010.1032095,99,4491.375,200.0
1760788011.1034968,100,4735.375,260.0
1760788012.103778,100,4735.375,273.0
1760788013.104369,100,4735.375,273.0
1760788014.1045988,100,4071.375,273.0
1760788015.105264,100,4071.375,273.0
1760788016.1055977,99,3925.375,263.0
1760788017.1060798,100,3925.375,267.0
1760788018.1064692,99,3679.375,237.0
1760788019.106971,90,3973.390625,226.0
1760788020.1072617,100,3679.390625,254.0
1760788021.107723,92,3287.4296875,235.0
1760788022.1080241,91,3287.46875,234.0
1760788023.108281,99,2991.46875,215.0
1760788024.1084905,99,3087.46875,262.0
1760788025.1088073,92,1761.5078125,193.0
1760788026.1091347,97,6830.1015625,195.0
1760788027.109529,100,6830.1015625,279.0
1760788028.110052,100,6830.1015625,273.0
1760788029.1104174,100,6830.1015625,276.0
1760788030.1109166,100,6830.1015625,274.0
1760788031.1113381,100,6830.1015625,274.0
1760788032.1116867,100,6830.1015625,275.0
1760788033.1121035,100,6830.1015625,274.0
1760788034.1127605,100,6830.1015625,274.0
1760788035.1135147,100,6830.1015625,274.0
1760788036.114075,100,6830.1015625,275.0
1760788037.1144814,100,6830.1015625,275.0
1760788038.1152775,100,6830.1015625,274.0
1760788039.115644,100,6830.1015625,275.0
1760788040.1160097,100,6830.1015625,275.0
1760788041.1162155,100,6830.1015625,274.0
1760788042.1165936,100,6830.1015625,274.0
1760788043.117015,100,6830.1015625,274.0
1760788044.11744,100,6830.1015625,275.0
1760788045.1179671,100,6830.1015625,274.0
1760788046.1185248,100,6830.1015625,275.0
