timestamp,utilization_percent,memory_used_mb,power_watts
1760789167.252332,0,482.0,99.826
1760789168.2533545,0,482.0,85.789
1760789169.2541258,0,482.0,45.26
1760789170.2546635,0,482.0,42.427
1760789171.2554238,0,482.0,42.074
1760789172.256276,11,4491.75,67.229
1760789173.2569697,69,7831.75,211.533
1760789174.2579749,74,7831.75,244.505
1760789175.25898,70,7831.75,244.126
1760789176.2598712,73,7831.75,252.56
1760789177.2606108,69,7831.75,245.86
1760789178.2613943,71,7831.75,236.345
1760789179.2621064,70,7831.75,234.745
1760789180.2627876,70,7831.75,267.951
1760789181.263806,70,7831.75,245.951
