timestamp,utilization_percent,memory_used_mb,power_watts
1760788680.5715714,0,482.0,99.85
1760788681.5725043,0,482.0,85.873
1760788682.573235,0,482.0,45.484
1760788683.5737813,0,482.0,42.562
1760788684.5745723,0,482.0,41.879
1760788685.5751576,12,6027.75,73.489
1760788686.5761075,86,8741.75,240.364
1760788687.5776994,88,8741.75,263.875
1760788688.5789413,89,8741.75,304.406
1760788689.5800233,88,8741.75,270.194
1760788690.5809958,89,8741.75,305.414
1760788691.5820816,88,8741.75,271.84
1760788692.58334,90,8741.75,296.396
1760788693.5840142,88,8741.75,299.333
1760788694.584681,88,8741.75,278.836
1760788695.5853496,88,8741.75,303.923
