timestamp,utilization_percent,memory_used_mb,power_watts
1760789372.1800854,0,482.0,101.603
1760789373.1811047,0,482.0,88.352
1760789374.181932,0,497.6875,71.829
1760789375.182497,99,19875.75,226.831
1760789376.183616,99,19875.75,304.868
1760789377.18465,99,19875.75,296.175
1760789378.1857402,99,19875.75,312.784
1760789379.1869645,99,19875.75,304.725
1760789380.188192,99,19875.75,314.932
1760789381.1889482,99,19875.75,303.485
1760789382.1901717,99,19875.75,298.68
1760789383.19111,99,19875.75,323.021
1760789384.1917686,99,19875.75,303.722
1760789385.1923852,99,19875.75,320.739
1760789386.1929786,99,19875.75,308.915
1760789387.1938028,99,19875.75,303.048
1760789388.194536,100,19875.75,297.214
1760789389.195173,98,19875.75,315.645
1760789390.195867,99,19875.75,317.658
1760789391.1965246,99,19875.75,308.874
1760789392.197185,99,19875.75,303.268
1760789393.1983018,99,19875.75,302.188
1760789394.1992173,99,19875.75,318.737
