timestamp,utilization_percent,memory_used_mb,power_watts
1760786874.0391843,0,482.0,101.558
1760786875.0400338,77,19597.75,170.845
1760786876.040662,100,19597.75,295.897
1760786877.0412567,100,19597.75,303.035
1760786878.0422654,97,19597.75,305.277
1760786879.043335,100,19597.75,303.721
1760786880.0441072,100,19597.75,304.476
1760786881.0456543,100,19597.75,299.978
1760786882.0464928,100,19597.75,308.897
1760786883.04727,100,19597.75,307.058
1760786884.0480955,100,19597.75,309.886
1760786885.0487726,100,19597.75,304.885
1760786886.0497897,99,19597.75,310.991
1760786887.05092,99,19597.75,309.388
1760786888.0521703,99,19597.75,308.421
1760786889.0532534,99,19597.75,308.371
1760786890.054448,99,19597.75,310.837
1760786891.055545,99,19597.75,311.485
1760786892.0566792,99,19597.75,309.831
1760786893.0573597,100,19597.75,308.36
1760786894.0580611,99,19597.75,309.878
1760786895.0587611,100,19597.75,314.977
1760786896.059586,99,19597.75,312.256
1760786897.0602584,99,19597.75,308.933
1760786898.0609999,100,19597.75,307.996
1760786899.061704,99,19597.75,307.867
1760786900.0624046,100,19597.75,305.156
1760786901.063118,99,19597.75,302.404
1760786902.063842,99,19597.75,306.021
1760786903.0649457,99,19597.75,306.855
1760786904.06613,99,19597.75,308.588
1760786905.0672846,99,19597.75,308.904
1760786906.0683289,99,19597.75,306.194
1760786907.0694275,99,19597.75,308.044
